value,percentage,datetime
603961.474,1,2015-01-01T00:00:00.000+01:00
715038.679,1,2015-01-02T00:00:00.000+01:00
698648.512,1,2015-01-03T00:00:00.000+01:00
663533.254,1,2015-01-04T00:00:00.000+01:00
714784.323,1,2015-01-05T00:00:00.000+01:00
640502.59,1,2015-01-06T00:00:00.000+01:00
797756.388,1,2015-01-07T00:00:00.000+01:00
825171.274,1,2015-01-08T00:00:00.000+01:00
814974.325,1,2015-01-09T00:00:00.000+01:00
730111.554,1,2015-01-10T00:00:00.000+01:00
677864.576,1,2015-01-11T00:00:00.000+01:00
798385.956,1,2015-01-12T00:00:00.000+01:00
808843.601,1,2015-01-13T00:00:00.000+01:00
808917.954,1,2015-01-14T00:00:00.000+01:00
805493.97,1,2015-01-15T00:00:00.000+01:00
806819.56,1,2015-01-16T00:00:00.000+01:00
737370.835,1,2015-01-17T00:00:00.000+01:00
705750.634,1,2015-01-18T00:00:00.000+01:00
832362.441,1,2015-01-19T00:00:00.000+01:00
854993.657,1,2015-01-20T00:00:00.000+01:00
858827.193,1,2015-01-21T00:00:00.000+01:00
852352.418,1,2015-01-22T00:00:00.000+01:00
840300.824,1,2015-01-23T00:00:00.000+01:00
755029.505,1,2015-01-24T00:00:00.000+01:00
691396.043,1,2015-01-25T00:00:00.000+01:00
820201.525,1,2015-01-26T00:00:00.000+01:00
828540.004,1,2015-01-27T00:00:00.000+01:00
822819.394,1,2015-01-28T00:00:00.000+01:00
817268.3,1,2015-01-29T00:00:00.000+01:00
800560.346,1,2015-01-30T00:00:00.000+01:00
722197.352,1,2015-01-31T00:00:00.000+01:00
683673.435,1,2015-02-01T00:00:00.000+01:00
828262.167,1,2015-02-02T00:00:00.000+01:00
846036.506,1,2015-02-03T00:00:00.000+01:00
864074.151,1,2015-02-04T00:00:00.000+01:00
861302.699,1,2015-02-05T00:00:00.000+01:00
865557.073,1,2015-02-06T00:00:00.000+01:00
788806.462,1,2015-02-07T00:00:00.000+01:00
722720.341,1,2015-02-08T00:00:00.000+01:00
848776.346,1,2015-02-09T00:00:00.000+01:00
855151.057,1,2015-02-10T00:00:00.000+01:00
844145.344,1,2015-02-11T00:00:00.000+01:00
837363.267,1,2015-02-12T00:00:00.000+01:00
815588.837,1,2015-02-13T00:00:00.000+01:00
731921.206,1,2015-02-14T00:00:00.000+01:00
666364.522,1,2015-02-15T00:00:00.000+01:00
781256.148,1,2015-02-16T00:00:00.000+01:00
808815.061,1,2015-02-17T00:00:00.000+01:00
805298.458,1,2015-02-18T00:00:00.000+01:00
800595.235,1,2015-02-19T00:00:00.000+01:00
800551.083,1,2015-02-20T00:00:00.000+01:00
723076.713,1,2015-02-21T00:00:00.000+01:00
667165.755,1,2015-02-22T00:00:00.000+01:00
785999.9,1,2015-02-23T00:00:00.000+01:00
804965.856,1,2015-02-24T00:00:00.000+01:00
799906.96,1,2015-02-25T00:00:00.000+01:00
785077.042,1,2015-02-26T00:00:00.000+01:00
767747.309,1,2015-02-27T00:00:00.000+01:00
688925.369,1,2015-02-28T00:00:00.000+01:00
632398.66,1,2015-03-01T00:00:00.000+01:00
740931.84,1,2015-03-02T00:00:00.000+01:00
748029.863,1,2015-03-03T00:00:00.000+01:00
759198.992,1,2015-03-04T00:00:00.000+01:00
766393.373,1,2015-03-05T00:00:00.000+01:00
759165.523,1,2015-03-06T00:00:00.000+01:00
672167.186,1,2015-03-07T00:00:00.000+01:00
620213.043,1,2015-03-08T00:00:00.000+01:00
735652.229,1,2015-03-09T00:00:00.000+01:00
746131.443,1,2015-03-10T00:00:00.000+01:00
741747.056,1,2015-03-11T00:00:00.000+01:00
737807.726,1,2015-03-12T00:00:00.000+01:00
742091.977,1,2015-03-13T00:00:00.000+01:00
683933.3,1,2015-03-14T00:00:00.000+01:00
639038.519,1,2015-03-15T00:00:00.000+01:00
756961.293,1,2015-03-16T00:00:00.000+01:00
773881.322,1,2015-03-17T00:00:00.000+01:00
778774.68,1,2015-03-18T00:00:00.000+01:00
725746.383,1,2015-03-19T00:00:00.000+01:00
748690.134,1,2015-03-20T00:00:00.000+01:00
692449.444,1,2015-03-21T00:00:00.000+01:00
643671.461,1,2015-03-22T00:00:00.000+01:00
770191.421,1,2015-03-23T00:00:00.000+01:00
788329.454,1,2015-03-24T00:00:00.000+01:00
783474.768,1,2015-03-25T00:00:00.000+01:00
774783.358,1,2015-03-26T00:00:00.000+01:00
747182.605,1,2015-03-27T00:00:00.000+01:00
658008.983,1,2015-03-28T00:00:00.000+01:00
569315.019,1,2015-03-29T00:00:00.000+01:00
688471.645,1,2015-03-30T00:00:00.000+02:00
695789.839,1,2015-03-31T00:00:00.000+02:00
686214.746,1,2015-04-01T00:00:00.000+02:00
607005.552,1,2015-04-02T00:00:00.000+02:00
552208.451,1,2015-04-03T00:00:00.000+02:00
582323.752,1,2015-04-04T00:00:00.000+02:00
556138.649,1,2015-04-05T00:00:00.000+02:00
610002.313,1,2015-04-06T00:00:00.000+02:00
691830.242,1,2015-04-07T00:00:00.000+02:00
713967.196,1,2015-04-08T00:00:00.000+02:00
721531.788,1,2015-04-09T00:00:00.000+02:00
715078.518,1,2015-04-10T00:00:00.000+02:00
648069.159,1,2015-04-11T00:00:00.000+02:00
591230.202,1,2015-04-12T00:00:00.000+02:00
687032.209,1,2015-04-13T00:00:00.000+02:00
705415.927,1,2015-04-14T00:00:00.000+02:00
715115.209,1,2015-04-15T00:00:00.000+02:00
715549.262,1,2015-04-16T00:00:00.000+02:00
706799.691,1,2015-04-17T00:00:00.000+02:00
634399.738,1,2015-04-18T00:00:00.000+02:00
582136.363,1,2015-04-19T00:00:00.000+02:00
687436.748,1,2015-04-20T00:00:00.000+02:00
701522.293,1,2015-04-21T00:00:00.000+02:00
699561.995,1,2015-04-22T00:00:00.000+02:00
687646.922,1,2015-04-23T00:00:00.000+02:00
692397.06,1,2015-04-24T00:00:00.000+02:00
634923.747,1,2015-04-25T00:00:00.000+02:00
587983.225,1,2015-04-26T00:00:00.000+02:00
692629.422,1,2015-04-27T00:00:00.000+02:00
700042.293,1,2015-04-28T00:00:00.000+02:00
703500.731,1,2015-04-29T00:00:00.000+02:00
704052.471,1,2015-04-30T00:00:00.000+02:00
578718.608,1,2015-05-01T00:00:00.000+02:00
600618.52,1,2015-05-02T00:00:00.000+02:00
579556.659,1,2015-05-03T00:00:00.000+02:00
696814.532,1,2015-05-04T00:00:00.000+02:00
712692.424,1,2015-05-05T00:00:00.000+02:00
709631.066,1,2015-05-06T00:00:00.000+02:00
709582.216,1,2015-05-07T00:00:00.000+02:00
713394.661,1,2015-05-08T00:00:00.000+02:00
645342.918,1,2015-05-09T00:00:00.000+02:00
592540.844,1,2015-05-10T00:00:00.000+02:00
708205.572,1,2015-05-11T00:00:00.000+02:00
733578.843,1,2015-05-12T00:00:00.000+02:00
744739.728,1,2015-05-13T00:00:00.000+02:00
759692.327,1,2015-05-14T00:00:00.000+02:00
715045.092,1,2015-05-15T00:00:00.000+02:00
648700.189,1,2015-05-16T00:00:00.000+02:00
596728.288,1,2015-05-17T00:00:00.000+02:00
712910.507,1,2015-05-18T00:00:00.000+02:00
725028.289,1,2015-05-19T00:00:00.000+02:00
709020.734,1,2015-05-20T00:00:00.000+02:00
704145.347,1,2015-05-21T00:00:00.000+02:00
703305.968,1,2015-05-22T00:00:00.000+02:00
638600.423,1,2015-05-23T00:00:00.000+02:00
580677.024,1,2015-05-24T00:00:00.000+02:00
690496.615,1,2015-05-25T00:00:00.000+02:00
711059.817,1,2015-05-26T00:00:00.000+02:00
718112.337,1,2015-05-27T00:00:00.000+02:00
727169.773,1,2015-05-28T00:00:00.000+02:00
718625.882,1,2015-05-29T00:00:00.000+02:00
646373.913,1,2015-05-30T00:00:00.000+02:00
593332.959,1,2015-05-31T00:00:00.000+02:00
706587.156,1,2015-06-01T00:00:00.000+02:00
738775.926,1,2015-06-02T00:00:00.000+02:00
747469.967,1,2015-06-03T00:00:00.000+02:00
730593.034,1,2015-06-04T00:00:00.000+02:00
742351.461,1,2015-06-05T00:00:00.000+02:00
678371.769,1,2015-06-06T00:00:00.000+02:00
620985.501,1,2015-06-07T00:00:00.000+02:00
745772.122,1,2015-06-08T00:00:00.000+02:00
757972.236,1,2015-06-09T00:00:00.000+02:00
757784.264,1,2015-06-10T00:00:00.000+02:00
743655.657,1,2015-06-11T00:00:00.000+02:00
726783.339,1,2015-06-12T00:00:00.000+02:00
649586.247,1,2015-06-13T00:00:00.000+02:00
589719.277,1,2015-06-14T00:00:00.000+02:00
700468.742,1,2015-06-15T00:00:00.000+02:00
708043.32,1,2015-06-16T00:00:00.000+02:00
718026.337,1,2015-06-17T00:00:00.000+02:00
728234.631,1,2015-06-18T00:00:00.000+02:00
739870.471,1,2015-06-19T00:00:00.000+02:00
677987.663,1,2015-06-20T00:00:00.000+02:00
623496.304,1,2015-06-21T00:00:00.000+02:00
746978.305,1,2015-06-22T00:00:00.000+02:00
749632.438,1,2015-06-23T00:00:00.000+02:00
709073.974,1,2015-06-24T00:00:00.000+02:00
756207.487,1,2015-06-25T00:00:00.000+02:00
773092.054,1,2015-06-26T00:00:00.000+02:00
718758.663,1,2015-06-27T00:00:00.000+02:00
668290.933,1,2015-06-28T00:00:00.000+02:00
802343.029,1,2015-06-29T00:00:00.000+02:00
825913.225,1,2015-06-30T00:00:00.000+02:00
818165.82,1,2015-07-01T00:00:00.000+02:00
807298.837,1,2015-07-02T00:00:00.000+02:00
813047.623,1,2015-07-03T00:00:00.000+02:00
735000.465,1,2015-07-04T00:00:00.000+02:00
690986.862,1,2015-07-05T00:00:00.000+02:00
833841.194,1,2015-07-06T00:00:00.000+02:00
866486.534,1,2015-07-07T00:00:00.000+02:00
861343.857,1,2015-07-08T00:00:00.000+02:00
842680.316,1,2015-07-09T00:00:00.000+02:00
830759.229,1,2015-07-10T00:00:00.000+02:00
740508.641,1,2015-07-11T00:00:00.000+02:00
681004.161,1,2015-07-12T00:00:00.000+02:00
824914.33,1,2015-07-13T00:00:00.000+02:00
849611.333,1,2015-07-14T00:00:00.000+02:00
854102.621,1,2015-07-15T00:00:00.000+02:00
852063.23,1,2015-07-16T00:00:00.000+02:00
849281.647,1,2015-07-17T00:00:00.000+02:00
