,comunidad_autonoma,month,demand_ccaa
0,Andalucía,2015-01-01T00:00:00.000+01:00,3485428.721
1,Andalucía,2015-02-01T00:00:00.000+01:00,3167179.074
2,Andalucía,2015-03-01T00:00:00.000+01:00,3150607.517
3,Andalucía,2015-04-01T00:00:00.000+02:00,2809896.497
4,Andalucía,2015-05-01T00:00:00.000+02:00,3047140.45
5,Andalucía,2015-06-01T00:00:00.000+02:00,3184114.599
6,Andalucía,2015-07-01T00:00:00.000+02:00,3923735.479
7,Andalucía,2015-08-01T00:00:00.000+02:00,3621936.219
8,Andalucía,2015-09-01T00:00:00.000+02:00,3034131.643
9,Andalucía,2015-10-01T00:00:00.000+02:00,2956529.323
10,Andalucía,2015-11-01T00:00:00.000+01:00,2921433.923
11,Andalucía,2015-12-01T00:00:00.000+01:00,3236452.127
12,Aragón,2015-01-01T00:00:00.000+01:00,903645.512
13,Aragón,2015-02-01T00:00:00.000+01:00,849701.481
14,Aragón,2015-03-01T00:00:00.000+01:00,904810.786
15,Aragón,2015-04-01T00:00:00.000+02:00,800756.867
16,Aragón,2015-05-01T00:00:00.000+02:00,852269.274
17,Aragón,2015-06-01T00:00:00.000+02:00,848747.285
18,Aragón,2015-07-01T00:00:00.000+02:00,925582.876
19,Aragón,2015-08-01T00:00:00.000+02:00,845503.374
20,Aragón,2015-09-01T00:00:00.000+02:00,826616.589
21,Aragón,2015-10-01T00:00:00.000+02:00,840095.886
22,Aragón,2015-11-01T00:00:00.000+01:00,844540.515
23,Aragón,2015-12-01T00:00:00.000+01:00,851147.647
24,Principado de Asturias,2015-01-01T00:00:00.000+01:00,956258.03
25,Principado de Asturias,2015-02-01T00:00:00.000+01:00,890800.057
26,Principado de Asturias,2015-03-01T00:00:00.000+01:00,929543.143
27,Principado de Asturias,2015-04-01T00:00:00.000+02:00,856934.826
28,Principado de Asturias,2015-05-01T00:00:00.000+02:00,863399.454
29,Principado de Asturias,2015-06-01T00:00:00.000+02:00,822456.29
30,Principado de Asturias,2015-07-01T00:00:00.000+02:00,878110.776
31,Principado de Asturias,2015-08-01T00:00:00.000+02:00,832511.783
32,Principado de Asturias,2015-09-01T00:00:00.000+02:00,819975.734
33,Principado de Asturias,2015-10-01T00:00:00.000+02:00,872877.645
34,Principado de Asturias,2015-11-01T00:00:00.000+01:00,864287.256
35,Principado de Asturias,2015-12-01T00:00:00.000+01:00,900378.726
36,Cantabria,2015-01-01T00:00:00.000+01:00,374887.914
37,Cantabria,2015-02-01T00:00:00.000+01:00,350424.136
38,Cantabria,2015-03-01T00:00:00.000+01:00,393903.333
39,Cantabria,2015-04-01T00:00:00.000+02:00,348258.862
40,Cantabria,2015-05-01T00:00:00.000+02:00,358305.596
41,Cantabria,2015-06-01T00:00:00.000+02:00,341599.137
42,Cantabria,2015-07-01T00:00:00.000+02:00,360853.149
43,Cantabria,2015-08-01T00:00:00.000+02:00,353605.822
44,Cantabria,2015-09-01T00:00:00.000+02:00,341766.173
45,Cantabria,2015-10-01T00:00:00.000+02:00,348195.082
46,Cantabria,2015-11-01T00:00:00.000+01:00,348327.575
47,Cantabria,2015-12-01T00:00:00.000+01:00,331071.824
48,Castilla- La Mancha,2015-01-01T00:00:00.000+01:00,1069550.84
49,Castilla- La Mancha,2015-02-01T00:00:00.000+01:00,967544.604
50,Castilla- La Mancha,2015-03-01T00:00:00.000+01:00,964927.024
51,Castilla- La Mancha,2015-04-01T00:00:00.000+02:00,851270.36
52,Castilla- La Mancha,2015-05-01T00:00:00.000+02:00,978384.67
53,Castilla- La Mancha,2015-06-01T00:00:00.000+02:00,954580.662
54,Castilla- La Mancha,2015-07-01T00:00:00.000+02:00,1127872.169
55,Castilla- La Mancha,2015-08-01T00:00:00.000+02:00,1036015.703
56,Castilla- La Mancha,2015-09-01T00:00:00.000+02:00,884880.304
57,Castilla- La Mancha,2015-10-01T00:00:00.000+02:00,853196.079
58,Castilla- La Mancha,2015-11-01T00:00:00.000+01:00,878463.136
59,Castilla- La Mancha,2015-12-01T00:00:00.000+01:00,975417.322
60,Castilla y León,2015-01-01T00:00:00.000+01:00,1265447.012
61,Castilla y León,2015-02-01T00:00:00.000+01:00,1183589.347
62,Castilla y León,2015-03-01T00:00:00.000+01:00,1201742.215
63,Castilla y León,2015-04-01T00:00:00.000+02:00,1056678.981
64,Castilla y León,2015-05-01T00:00:00.000+02:00,1096363.615
65,Castilla y León,2015-06-01T00:00:00.000+02:00,1100185.951
66,Castilla y León,2015-07-01T00:00:00.000+02:00,1272522.336
67,Castilla y León,2015-08-01T00:00:00.000+02:00,1120544.413
68,Castilla y León,2015-09-01T00:00:00.000+02:00,1066987.665
69,Castilla y León,2015-10-01T00:00:00.000+02:00,1114237.166
70,Castilla y León,2015-11-01T00:00:00.000+01:00,1148084.056
71,Castilla y León,2015-12-01T00:00:00.000+01:00,1200695.934
72,Cataluña,2015-01-01T00:00:00.000+01:00,4166773.739
73,Cataluña,2015-02-01T00:00:00.000+01:00,3875789.258
74,Cataluña,2015-03-01T00:00:00.000+01:00,3960238.857
75,Cataluña,2015-04-01T00:00:00.000+02:00,3547210.863
76,Cataluña,2015-05-01T00:00:00.000+02:00,3692788.614
77,Cataluña,2015-06-01T00:00:00.000+02:00,3864700.681
78,Cataluña,2015-07-01T00:00:00.000+02:00,4505638.561
79,Cataluña,2015-08-01T00:00:00.000+02:00,3854649.146
80,Cataluña,2015-09-01T00:00:00.000+02:00,3715257.729
81,Cataluña,2015-10-01T00:00:00.000+02:00,3756932.177
82,Cataluña,2015-11-01T00:00:00.000+01:00,3757928.173
83,Cataluña,2015-12-01T00:00:00.000+01:00,3876726.24
84,Comunidad Ceuta,2015-01-01T00:00:00.000+01:00,18698.456
85,Comunidad Ceuta,2015-02-01T00:00:00.000+01:00,16234.458
86,Comunidad Ceuta,2015-03-01T00:00:00.000+01:00,15897.638
87,Comunidad Ceuta,2015-04-01T00:00:00.000+02:00,15142.319
88,Comunidad Ceuta,2015-05-01T00:00:00.000+02:00,16646.738
89,Comunidad Ceuta,2015-06-01T00:00:00.000+02:00,16896.176
90,Comunidad Ceuta,2015-07-01T00:00:00.000+02:00,19155.601
91,Comunidad Ceuta,2015-08-01T00:00:00.000+02:00,18611.021
92,Comunidad Ceuta,2015-09-01T00:00:00.000+02:00,16586.627
93,Comunidad Ceuta,2015-10-01T00:00:00.000+02:00,16965.814
94,Comunidad Ceuta,2015-11-01T00:00:00.000+01:00,16098.263
95,Comunidad Ceuta,2015-12-01T00:00:00.000+01:00,17089.979
96,Comunidad de Madrid,2015-01-01T00:00:00.000+01:00,2785644.732
97,Comunidad de Madrid,2015-02-01T00:00:00.000+01:00,2543195.794
98,Comunidad de Madrid,2015-03-01T00:00:00.000+01:00,2446457.005
99,Comunidad de Madrid,2015-04-01T00:00:00.000+02:00,2120817.01
100,Comunidad de Madrid,2015-05-01T00:00:00.000+02:00,2197378.236
101,Comunidad de Madrid,2015-06-01T00:00:00.000+02:00,2348360.395
102,Comunidad de Madrid,2015-07-01T00:00:00.000+02:00,2821408.312
103,Comunidad de Madrid,2015-08-01T00:00:00.000+02:00,2324268.317
104,Comunidad de Madrid,2015-09-01T00:00:00.000+02:00,2135972.717
105,Comunidad de Madrid,2015-10-01T00:00:00.000+02:00,2197706.938
106,Comunidad de Madrid,2015-11-01T00:00:00.000+01:00,2312518.255
107,Comunidad de Madrid,2015-12-01T00:00:00.000+01:00,2557614.574
108,Comunidad Valenciana,2015-01-01T00:00:00.000+01:00,2391973.644
109,Comunidad Valenciana,2015-02-01T00:00:00.000+01:00,2216907.15
110,Comunidad Valenciana,2015-03-01T00:00:00.000+01:00,2192370.0
111,Comunidad Valenciana,2015-04-01T00:00:00.000+02:00,1955264.817
112,Comunidad Valenciana,2015-05-01T00:00:00.000+02:00,2085205.931
113,Comunidad Valenciana,2015-06-01T00:00:00.000+02:00,2221761.81
114,Comunidad Valenciana,2015-07-01T00:00:00.000+02:00,2740927.677
115,Comunidad Valenciana,2015-08-01T00:00:00.000+02:00,2340351.676
116,Comunidad Valenciana,2015-09-01T00:00:00.000+02:00,2158893.78
117,Comunidad Valenciana,2015-10-01T00:00:00.000+02:00,2075797.798
118,Comunidad Valenciana,2015-11-01T00:00:00.000+01:00,2095793.294
119,Comunidad Valenciana,2015-12-01T00:00:00.000+01:00,2197422.86
120,Extremadura,2015-01-01T00:00:00.000+01:00,456054.476
121,Extremadura,2015-02-01T00:00:00.000+01:00,407777.076
122,Extremadura,2015-03-01T00:00:00.000+01:00,393253.836
123,Extremadura,2015-04-01T00:00:00.000+02:00,343621.07
124,Extremadura,2015-05-01T00:00:00.000+02:00,367992.191
125,Extremadura,2015-06-01T00:00:00.000+02:00,399268.592
126,Extremadura,2015-07-01T00:00:00.000+02:00,457673.723
127,Extremadura,2015-08-01T00:00:00.000+02:00,464554.144
128,Extremadura,2015-09-01T00:00:00.000+02:00,397413.143
129,Extremadura,2015-10-01T00:00:00.000+02:00,366363.101
130,Extremadura,2015-11-01T00:00:00.000+01:00,371707.656
131,Extremadura,2015-12-01T00:00:00.000+01:00,393741.061
132,Galicia,2015-01-01T00:00:00.000+01:00,1865880.341
133,Galicia,2015-02-01T00:00:00.000+01:00,1718823.101
134,Galicia,2015-03-01T00:00:00.000+01:00,1745705.028
135,Galicia,2015-04-01T00:00:00.000+02:00,1577762.583
136,Galicia,2015-05-01T00:00:00.000+02:00,1598331.808
137,Galicia,2015-06-01T00:00:00.000+02:00,1547149.411
138,Galicia,2015-07-01T00:00:00.000+02:00,1595864.529
139,Galicia,2015-08-01T00:00:00.000+02:00,1552947.67
140,Galicia,2015-09-01T00:00:00.000+02:00,1541750.716
141,Galicia,2015-10-01T00:00:00.000+02:00,1626654.357
142,Galicia,2015-11-01T00:00:00.000+01:00,1636100.259
143,Galicia,2015-12-01T00:00:00.000+01:00,1708525.262
144,Islas Baleares,2015-01-01T00:00:00.000+01:00,450337.744
145,Islas Baleares,2015-02-01T00:00:00.000+01:00,432565.002
146,Islas Baleares,2015-03-01T00:00:00.000+01:00,438112.271
147,Islas Baleares,2015-04-01T00:00:00.000+02:00,396128.115
148,Islas Baleares,2015-05-01T00:00:00.000+02:00,449841.486
149,Islas Baleares,2015-06-01T00:00:00.000+02:00,522860.102
150,Islas Baleares,2015-07-01T00:00:00.000+02:00,695626.141
151,Islas Baleares,2015-08-01T00:00:00.000+02:00,655989.676
152,Islas Baleares,2015-09-01T00:00:00.000+02:00,523712.01
153,Islas Baleares,2015-10-01T00:00:00.000+02:00,447095.247
154,Islas Baleares,2015-11-01T00:00:00.000+01:00,368534.619
155,Islas Baleares,2015-12-01T00:00:00.000+01:00,407166.73
156,Islas Canarias,2015-01-01T00:00:00.000+01:00,728282.214
157,Islas Canarias,2015-02-01T00:00:00.000+01:00,659110.673
158,Islas Canarias,2015-03-01T00:00:00.000+01:00,712202.314
159,Islas Canarias,2015-04-01T00:00:00.000+02:00,671852.862
160,Islas Canarias,2015-05-01T00:00:00.000+02:00,701299.031
161,Islas Canarias,2015-06-01T00:00:00.000+02:00,682683.027
162,Islas Canarias,2015-07-01T00:00:00.000+02:00,764250.299
163,Islas Canarias,2015-08-01T00:00:00.000+02:00,763974.804
164,Islas Canarias,2015-09-01T00:00:00.000+02:00,746706.563
165,Islas Canarias,2015-10-01T00:00:00.000+02:00,756826.611
166,Islas Canarias,2015-11-01T00:00:00.000+01:00,713288.253
167,Islas Canarias,2015-12-01T00:00:00.000+01:00,732736.688
