Título,evolucion_01-01-2020_31-12-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,NACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,01/ene/20,02/ene/20,03/ene/20,04/ene/20,05/ene/20,06/ene/20,07/ene/20,08/ene/20,09/ene/20,10/ene/20,11/ene/20,12/ene/20,13/ene/20,14/ene/20,15/ene/20,16/ene/20,17/ene/20,18/ene/20,19/ene/20,20/ene/20,21/ene/20,22/ene/20,23/ene/20,24/ene/20,25/ene/20,26/ene/20,27/ene/20,28/ene/20,29/ene/20,30/ene/20,31/ene/20,01/feb/20,02/feb/20,03/feb/20,04/feb/20,05/feb/20,06/feb/20,07/feb/20,08/feb/20,09/feb/20,10/feb/20,11/feb/20,12/feb/20,13/feb/20,14/feb/20,15/feb/20,16/feb/20,17/feb/20,18/feb/20,19/feb/20,20/feb/20,21/feb/20,22/feb/20,23/feb/20,24/feb/20,25/feb/20,26/feb/20,27/feb/20,28/feb/20,29/feb/20,01/mar/20,02/mar/20,03/mar/20,04/mar/20,05/mar/20,06/mar/20,07/mar/20,08/mar/20,09/mar/20,10/mar/20,11/mar/20,12/mar/20,13/mar/20,14/mar/20,15/mar/20,16/mar/20,17/mar/20,18/mar/20,19/mar/20,20/mar/20,21/mar/20,22/mar/20,23/mar/20,24/mar/20,25/mar/20,26/mar/20,27/mar/20,28/mar/20,29/mar/20,30/mar/20,31/mar/20,01/abr/20,02/abr/20,03/abr/20,04/abr/20,05/abr/20,06/abr/20,07/abr/20,08/abr/20,09/abr/20,10/abr/20,11/abr/20,12/abr/20,13/abr/20,14/abr/20,15/abr/20,16/abr/20,17/abr/20,18/abr/20,19/abr/20,20/abr/20,21/abr/20,22/abr/20,23/abr/20,24/abr/20,25/abr/20,26/abr/20,27/abr/20,28/abr/20,29/abr/20,30/abr/20,01/may/20,02/may/20,03/may/20,04/may/20,05/may/20,06/may/20,07/may/20,08/may/20,09/may/20,10/may/20,11/may/20,12/may/20,13/may/20,14/may/20,15/may/20,16/may/20,17/may/20,18/may/20,19/may/20,20/may/20,21/may/20,22/may/20,23/may/20,24/may/20,25/may/20,26/may/20,27/may/20,28/may/20,29/may/20,30/may/20,31/may/20,01/jun/20,02/jun/20,03/jun/20,04/jun/20,05/jun/20,06/jun/20,07/jun/20,08/jun/20,09/jun/20,10/jun/20,11/jun/20,12/jun/20,13/jun/20,14/jun/20,15/jun/20,16/jun/20,17/jun/20,18/jun/20,19/jun/20,20/jun/20,21/jun/20,22/jun/20,23/jun/20,24/jun/20,25/jun/20,26/jun/20,27/jun/20,28/jun/20,29/jun/20,30/jun/20,01/jul/20,02/jul/20,03/jul/20,04/jul/20,05/jul/20,06/jul/20,07/jul/20,08/jul/20,09/jul/20,10/jul/20,11/jul/20,12/jul/20,13/jul/20,14/jul/20,15/jul/20,16/jul/20,17/jul/20,18/jul/20,19/jul/20,20/jul/20,21/jul/20,22/jul/20,23/jul/20,24/jul/20,25/jul/20,26/jul/20,27/jul/20,28/jul/20,29/jul/20,30/jul/20,31/jul/20,01/ago/20,02/ago/20,03/ago/20,04/ago/20,05/ago/20,06/ago/20,07/ago/20,08/ago/20,09/ago/20,10/ago/20,11/ago/20,12/ago/20,13/ago/20,14/ago/20,15/ago/20,16/ago/20,17/ago/20,18/ago/20,19/ago/20,20/ago/20,21/ago/20,22/ago/20,23/ago/20,24/ago/20,25/ago/20,26/ago/20,27/ago/20,28/ago/20,29/ago/20,30/ago/20,31/ago/20,01/sep/20,02/sep/20,03/sep/20,04/sep/20,05/sep/20,06/sep/20,07/sep/20,08/sep/20,09/sep/20,10/sep/20,11/sep/20,12/sep/20,13/sep/20,14/sep/20,15/sep/20,16/sep/20,17/sep/20,18/sep/20,19/sep/20,20/sep/20,21/sep/20,22/sep/20,23/sep/20,24/sep/20,25/sep/20,26/sep/20,27/sep/20,28/sep/20,29/sep/20,30/sep/20,01/oct/20,02/oct/20,03/oct/20,04/oct/20,05/oct/20,06/oct/20,07/oct/20,08/oct/20,09/oct/20,10/oct/20,11/oct/20,12/oct/20,13/oct/20,14/oct/20,15/oct/20,16/oct/20,17/oct/20,18/oct/20,19/oct/20,20/oct/20,21/oct/20,22/oct/20,23/oct/20,24/oct/20,25/oct/20,26/oct/20,27/oct/20,28/oct/20,29/oct/20,30/oct/20,31/oct/20,01/nov/20,02/nov/20,03/nov/20,04/nov/20,05/nov/20,06/nov/20,07/nov/20,08/nov/20,09/nov/20,10/nov/20,11/nov/20,12/nov/20,13/nov/20,14/nov/20,15/nov/20,16/nov/20,17/nov/20,18/nov/20,19/nov/20,20/nov/20,21/nov/20,22/nov/20,23/nov/20,24/nov/20,25/nov/20,26/nov/20,27/nov/20,28/nov/20,29/nov/20,30/nov/20,01/dic/20,02/dic/20,03/dic/20,04/dic/20,05/dic/20,06/dic/20,07/dic/20,08/dic/20,09/dic/20,10/dic/20,11/dic/20,12/dic/20,13/dic/20,14/dic/20,15/dic/20,16/dic/20,17/dic/20,18/dic/20,19/dic/20,20/dic/20,21/dic/20,22/dic/20,23/dic/20,24/dic/20,25/dic/20,26/dic/20,27/dic/20,28/dic/20,29/dic/20,30/dic/20,31/dic/20
Demanda,"574,77672","723,522375","754,6453419999999","702,390878","651,967486","630,259532","789,0316210000001","820,1436779999999","820,7696139999999","814,7598270000001","732,5317249999999","693,449101","829,1579059999999","844,4160790000001","832,9102929999999","822,827255","807,653787","729,6730239999999","689,8208860000001","846,106888","862,132604","841,706187","829,427103","821,136183","734,265345","676,3692619999999","807,615701","807,001677","792,162501","778,203546","765,448598","681,471943","625,016468","729,3290820000001","747,892827","758,9877879999999","769,754643","772,488589","698,19959","646,787156","749,504414","761,008347","766,558356","759,532177","753,9541409999999","675,832097","625,453407","739,797699","766,371869","764,941248","763,651659","753,7447340000001","672,07247","620,87208","730,827761","743,8207530000001","753,405313","751,137432","728,292593","670,263321","626,873694","741,296331","769,321188","759,058244","754,3651639999999","757,995483","683,5324390000001","630,442877","740,417533","747,566521","742,561392","738,0889070000001","729,774542","646,497547","600,435811","704,1242639999999","706,050583","684,7990699999999","641,992028","647,058248","612,492101","583,510909","653,558582","663,819764","664,643791","661,3383240000001","667,335755","605,617221","540,51504","610,9960749999999","610,653934","599,875958","599,323162","584,6836940000001","542,996041","519,594376","568,14384","567,082621","555,027089","529,824736","510,43549","518,229908","501,61548","537,818991","584,017243","604,3471850000001","604,521525","598,6975679999999","552,914776","520,1232679999999","585,331059","608,8807049999999","608,023375","599,598011","594,6619840000001","556,038735","522,374953","590,579965","601,2031049999999","600,23468","594,712471","525,344189","529,331136","509,365967","585,884404","607,115027","610,19936","604,624142","597,1797879999999","547,084706","513,399456","591,350652","617,479021","617,401116","620,5579009999999","608,95225","555,670934","519,597946","596,670207","615,0526040000001","622,450073","630,168002","634,3552639999999","582,895641","542,1706409999999","627,4661110000001","642,990536","644,707726","642,005868","641,5703100000001","583,3804329999999","541,662429","627,334741","653,3965","662,452407","651,301681","640,912088","582,674188","540,393818","625,763383","643,604721","653,728489","653,624408","645,918049","581,088713","543,304621","644,001077","656,823463","661,145578","662,011432","657,6761829999999","608,254976","572,807006","682,9632909999999","706,61383","668,203326","711,838827","702,221428","638,125491","604,1445640000001","723,951102","752,302735","763,359011","765,7901019999999","735,357247","660,713186","626,327165","757,299096","780,525085","784,56699","771,1258909999999","758,878105","690,6977340000001","633,135072","752,649491","760,459038","756,753738","763,067312","760,177205","688,716516","644,522223","769,33038","785,563684","776,667953","789,63451","789,08965","704,273245","664,179618","794,291764","814,337543","817,4875470000001","825,275946","810,169058","738,2691530000001","673,895707","747,511864","751,1237600000001","764,126717","776,466924","775,393905","700,782169","657,269503","738,0689610000001","734,50001","712,418386","716,219241","710,586003","631,2936169999999","591,6626","683,923907","708,888916","725,675863","729,676986","739,0805740000001","676,812548","625,384861","733,320649","772,384724","791,658289","797,8907539999999","773,438841","635,866109","572,3108980000001","679,208909","700,209044","711,095786","719,00512","724,580748","653,584402","604,081335","696,258312","698,100318","718,0849350000001","721,372797","698,312958","649,1655509999999","605,4915579999999","718,980488","740,288273","751,5567169999999","740,7607830000001","713,829456","627,3284080000001","574,171087","683,416711","703,840984","712,811873","712,997199","691,7896890000001","614,3099719999999","568,7665649999999","666,55906","686,7970429999999","690,962671","700,9167319999999","698,403756","612,1690500000001","571,636922","673,48222","690,8948959999999","699,613798","699,215554","679,813517","614,3319620000001","563,490862","570,701026","673,7846870000001","703,005757","709,578141","704,019681","631,928375","583,351177","687,1524129999999","711,7149000000001","707,162568","710,357203","696,843426","625,382417","606,3079690000001","689,553095","714,662582","715,705336","715,28416","704,726127","628,294896","575,0750280000001","647,094468","706,154584","728,814878","724,7667560000001","710,624719","635,069873","585,653269","688,061521","711,586135","718,1732939999999","717,8806310000001","713,2649690000001","641,465596","585,947032","693,2366800000001","712,86251","718,214566","718,299945","716,666871","645,094568","605,990942","728,1889520000001","757,498853","765,26818","766,690677","751,4898199999999","667,6277210000001","624,7317730000001","737,071712","753,620849","768,634956","784,315168","790,382104","723,62758","676,303","712,6566019999999","693,4332929999999","804,0188059999999","807,7716949999999","783,7662929999999","686,5101609999999","644,286586","759,517717","766,794634","780,348751","778,470844","776,174524","697,9458079999999","646,840581","750,4068199999999","750,081066","727,7066239999999","643,648623","570,771924","635,755792","646,6995459999999","724,357078","732,115459","734,2831239999999","687,715588"
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2020 - 31/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,09/04/2023 - 16:32:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
