Título,evolucion_01-01-2022_31-12-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,NACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,01/ene/22,02/ene/22,03/ene/22,04/ene/22,05/ene/22,06/ene/22,07/ene/22,08/ene/22,09/ene/22,10/ene/22,11/ene/22,12/ene/22,13/ene/22,14/ene/22,15/ene/22,16/ene/22,17/ene/22,18/ene/22,19/ene/22,20/ene/22,21/ene/22,22/ene/22,23/ene/22,24/ene/22,25/ene/22,26/ene/22,27/ene/22,28/ene/22,29/ene/22,30/ene/22,31/ene/22,01/feb/22,02/feb/22,03/feb/22,04/feb/22,05/feb/22,06/feb/22,07/feb/22,08/feb/22,09/feb/22,10/feb/22,11/feb/22,12/feb/22,13/feb/22,14/feb/22,15/feb/22,16/feb/22,17/feb/22,18/feb/22,19/feb/22,20/feb/22,21/feb/22,22/feb/22,23/feb/22,24/feb/22,25/feb/22,26/feb/22,27/feb/22,28/feb/22,01/mar/22,02/mar/22,03/mar/22,04/mar/22,05/mar/22,06/mar/22,07/mar/22,08/mar/22,09/mar/22,10/mar/22,11/mar/22,12/mar/22,13/mar/22,14/mar/22,15/mar/22,16/mar/22,17/mar/22,18/mar/22,19/mar/22,20/mar/22,21/mar/22,22/mar/22,23/mar/22,24/mar/22,25/mar/22,26/mar/22,27/mar/22,28/mar/22,29/mar/22,30/mar/22,31/mar/22,01/abr/22,02/abr/22,03/abr/22,04/abr/22,05/abr/22,06/abr/22,07/abr/22,08/abr/22,09/abr/22,10/abr/22,11/abr/22,12/abr/22,13/abr/22,14/abr/22,15/abr/22,16/abr/22,17/abr/22,18/abr/22,19/abr/22,20/abr/22,21/abr/22,22/abr/22,23/abr/22,24/abr/22,25/abr/22,26/abr/22,27/abr/22,28/abr/22,29/abr/22,30/abr/22,01/may/22,02/may/22,03/may/22,04/may/22,05/may/22,06/may/22,07/may/22,08/may/22,09/may/22,10/may/22,11/may/22,12/may/22,13/may/22,14/may/22,15/may/22,16/may/22,17/may/22,18/may/22,19/may/22,20/may/22,21/may/22,22/may/22,23/may/22,24/may/22,25/may/22,26/may/22,27/may/22,28/may/22,29/may/22,30/may/22,31/may/22,01/jun/22,02/jun/22,03/jun/22,04/jun/22,05/jun/22,06/jun/22,07/jun/22,08/jun/22,09/jun/22,10/jun/22,11/jun/22,12/jun/22,13/jun/22,14/jun/22,15/jun/22,16/jun/22,17/jun/22,18/jun/22,19/jun/22,20/jun/22,21/jun/22,22/jun/22,23/jun/22,24/jun/22,25/jun/22,26/jun/22,27/jun/22,28/jun/22,29/jun/22,30/jun/22,01/jul/22,02/jul/22,03/jul/22,04/jul/22,05/jul/22,06/jul/22,07/jul/22,08/jul/22,09/jul/22,10/jul/22,11/jul/22,12/jul/22,13/jul/22,14/jul/22,15/jul/22,16/jul/22,17/jul/22,18/jul/22,19/jul/22,20/jul/22,21/jul/22,22/jul/22,23/jul/22,24/jul/22,25/jul/22,26/jul/22,27/jul/22,28/jul/22,29/jul/22,30/jul/22,31/jul/22,01/ago/22,02/ago/22,03/ago/22,04/ago/22,05/ago/22,06/ago/22,07/ago/22,08/ago/22,09/ago/22,10/ago/22,11/ago/22,12/ago/22,13/ago/22,14/ago/22,15/ago/22,16/ago/22,17/ago/22,18/ago/22,19/ago/22,20/ago/22,21/ago/22,22/ago/22,23/ago/22,24/ago/22,25/ago/22,26/ago/22,27/ago/22,28/ago/22,29/ago/22,30/ago/22,31/ago/22,01/sep/22,02/sep/22,03/sep/22,04/sep/22,05/sep/22,06/sep/22,07/sep/22,08/sep/22,09/sep/22,10/sep/22,11/sep/22,12/sep/22,13/sep/22,14/sep/22,15/sep/22,16/sep/22,17/sep/22,18/sep/22,19/sep/22,20/sep/22,21/sep/22,22/sep/22,23/sep/22,24/sep/22,25/sep/22,26/sep/22,27/sep/22,28/sep/22,29/sep/22,30/sep/22,01/oct/22,02/oct/22,03/oct/22,04/oct/22,05/oct/22,06/oct/22,07/oct/22,08/oct/22,09/oct/22,10/oct/22,11/oct/22,12/oct/22,13/oct/22,14/oct/22,15/oct/22,16/oct/22,17/oct/22,18/oct/22,19/oct/22,20/oct/22,21/oct/22,22/oct/22,23/oct/22,24/oct/22,25/oct/22,26/oct/22,27/oct/22,28/oct/22,29/oct/22,30/oct/22,31/oct/22,01/nov/22,02/nov/22,03/nov/22,04/nov/22,05/nov/22,06/nov/22,07/nov/22,08/nov/22,09/nov/22,10/nov/22,11/nov/22,12/nov/22,13/nov/22,14/nov/22,15/nov/22,16/nov/22,17/nov/22,18/nov/22,19/nov/22,20/nov/22,21/nov/22,22/nov/22,23/nov/22,24/nov/22,25/nov/22,26/nov/22,27/nov/22,28/nov/22,29/nov/22,30/nov/22,01/dic/22,02/dic/22,03/dic/22,04/dic/22,05/dic/22,06/dic/22,07/dic/22,08/dic/22,09/dic/22,10/dic/22,11/dic/22,12/dic/22,13/dic/22,14/dic/22,15/dic/22,16/dic/22,17/dic/22,18/dic/22,19/dic/22,20/dic/22,21/dic/22,22/dic/22,23/dic/22,24/dic/22,25/dic/22,26/dic/22,27/dic/22,28/dic/22,29/dic/22,30/dic/22,31/dic/22
Demanda,"535,144786","578,855186","691,970774","718,047874","715,070234","617,9363510000001","703,00457","686,615314","657,0999039999999","756,621212","771,7110779999999","777,310213","788,5722830000001","796,150956","717,1641430000001","672,3810679999999","790,794183","809,453033","813,885767","813,8411040000001","812,933383","728,5318860000001","681,487178","800,222601","803,957158","800,205701","794,878473","786,143822","698,9690159999999","648,503898","761,8327830000001","774,260763","762,494554","760,780897","756,8966409999999","682,674839","635,24708","746,724421","756,6787240000001","755,748252","762,082393","754,633793","679,947691","635,7765280000001","741,71903","759,124039","758,26598","744,05002","735,4270479999999","677,9925579999999","628,491111","726,59717","734,120281","732,237567","736,907737","742,820885","670,693047","618,013898","697,748424","722,388816","735,557669","742,6330230000001","743,234649","660,643502","620,107901","732,351905","734,9617920000001","727,2583930000001","722,3453079999999","732,2962709999999","642,316001","593,948525","726,40009","726,7304320000001","728,363717","725,9064529999999","704,141493","623,4558989999999","591,1540640000001","697,887902","716,928953","718,88765","724,849438","706,549852","631,381395","553,725174","676,668478","692,1175999999999","706,797566","704,625593","710,155975","644,9812360000001","612,949265","742,910474","761,970824","743,895895","721,354993","705,6839","620,709525","573,839503","666,747778","686,134946","684,333818","584,3753780000001","535,714357","550,28145","526,543801","579,645152","657,322632","698,1048900000001","697,301005","695,227498","627,967623","571,212538","654,1524109999999","676,98566","687,255802","688,366593","668,926127","592,486811","528,300787","614,048211","677,303037","687,223115","680,667772","668,504338","596,402366","550,361286","650,502705","673,662319","678,450458","683,875857","678,794546","613,361209","565,2317099999999","658,492213","689,028371","701,6078349999999","716,592912","714,822991","645,617077","590,956683","692,2180330000001","699,420346","683,1382639999999","714,067587","694,440991","628,859698","579,466631","671,997191","699,812361","709,302133","713,668061","711,160826","632,4844039999999","583,470473","671,433657","718,041397","732,569897","739,916241","740,490446","678,532472","633,0009749999999","758,363298","798,4860699999999","816,364259","810,01256","807,304561","721,3412020000001","639,1817269999999","746,066922","753,9331729999999","735,015696","711,892101","657,8438689999999","634,606089","596,755228","697,204536","717,1796629999999","726,705895","724,0603199999999","714,0285709999999","664,377709","628,226593","734,344401","765,882652","763,6816729999999","755,479326","759,368858","692,035148","652,0863710000001","780,679678","810,796426","827,365597","835,770447","831,3849329999999","748,201219","698,377676","821,5178860000001","822,916788","822,885224","836,149944","830,9974649999999","734,442081","687,205283","787,1979819999999","823,55425","805,78548","799,699946","793,3476850000001","717,735864","674,963943","782,521073","799,898329","795,659405","789,35583","772,6898100000001","698,854822","647,634679","727,4987580000001","745,859871","754,558766","750,779206","750,673522","698,2344989999999","629,7760870000001","622,538639","680,654527","677,0436990000001","659,183861","661,987627","633,818676","602,883282","703,213629","730,723612","738,645945","736,733422","725,70943","656,795718","615,6297830000001","727,420211","751,147157","740,404172","731,4817879999999","732,0539679999999","641,928708","596,1969499999999","710,7377700000001","727,26897","731,490862","715,512972","721,625287","653,694882","619,708348","742,9940330000001","746,324252","722,454362","713,296012","708,3076550000001","618,8861380000001","574,136548","685,364907","704,096644","699,823688","695,313893","689,6647469999999","602,180753","547,163823","638,419659","658,979921","663,320392","663,353833","648,464959","575,849065","535,5051480000001","644,440708","667,207409","668,669418","674,825339","666,0509840000001","589,253259","540,454545","644,467686","654,568792","557,981628","641,190571","654,0087970000001","579,1508739999999","540,2728950000001","645,39562","666,772338","678,38025","683,9367639999999","672,170225","586,314871","550,296151","645,224113","663,087976","668,640212","662,8367539999999","651,771527","571,847334","547,0155080000001","587,405706","538,3938009999999","634,0247870000001","656,436912","652,904399","571,727679","532,147441","638,202828","666,511941","661,004641","664,13636","664,639196","587,975661","542,466203","652,5343029999999","675,269265","681,2095919999999","679,268695","675,33015","603,507674","560,2142650000001","686,716219","715,365953","701,589078","698,027598","682,077092","614,632963","582,3965089999999","688,479376","712,256813","724,036512","730,224608","731,3818249999999","659,730812","615,9172460000001","707,303282","644,787867","693,207986","631,992426","670,8049649999999","622,518241","606,380755","727,723327","732,646645","716,7100810000001","711,320826","712,695508","628,579235","589,707623","708,1157959999999","722,650092","709,745801","693,3701629999999","656,294513","560,210845","487,86905","530,823509","610,0961850000001","627,39823","635,148146","621,3306729999999","557,468998"
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2022 - 28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Provisional: 01/03/2022 - 31/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,09/04/2023 - 16:46:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
