ccaa,month,type,value,datetime,percentage,geo_id,community_name
0,1,Hidráulica,14380.273,2022-01-01T00:00:00.000+01:00,0.004797526371902153,4,Andalucía
0,2,Hidráulica,7957.025,2022-02-01T00:00:00.000+01:00,0.003351399179806067,4,Andalucía
0,3,Hidráulica,20461.183,2022-03-01T00:00:00.000+01:00,0.00926824975288214,4,Andalucía
0,4,Hidráulica,37743.96,2022-04-01T00:00:00.000+02:00,0.01578488718370589,4,Andalucía
0,5,Hidráulica,52123.485,2022-05-01T00:00:00.000+02:00,0.019438034609479155,4,Andalucía
0,6,Hidráulica,42648.386,2022-06-01T00:00:00.000+02:00,0.012004196190814458,4,Andalucía
0,7,Hidráulica,41424.258,2022-07-01T00:00:00.000+02:00,0.009593142135502003,4,Andalucía
0,8,Hidráulica,31968.649,2022-08-01T00:00:00.000+02:00,0.007622166209874292,4,Andalucía
0,9,Hidráulica,17322.778,2022-09-01T00:00:00.000+02:00,0.0045307036328989525,4,Andalucía
0,10,Hidráulica,7108.587,2022-10-01T00:00:00.000+02:00,0.002165091661127395,4,Andalucía
0,11,Hidráulica,5087.92,2022-11-01T00:00:00.000+01:00,0.002243960806932349,4,Andalucía
0,12,Hidráulica,15410.347,2022-12-01T00:00:00.000+01:00,0.006818741629453031,4,Andalucía
0,1,Turbinación bombeo,11980.856,2022-01-01T00:00:00.000+01:00,0.003997036260574618,4,Andalucía
0,2,Turbinación bombeo,15661.778,2022-02-01T00:00:00.000+01:00,0.006596544555723364,4,Andalucía
0,3,Turbinación bombeo,14849.594,2022-03-01T00:00:00.000+01:00,0.006726382630021934,4,Andalucía
0,4,Turbinación bombeo,14892.501,2022-04-01T00:00:00.000+02:00,0.0062281871899034225,4,Andalucía
0,5,Turbinación bombeo,18622.092,2022-05-01T00:00:00.000+02:00,0.006944602203726494,4,Andalucía
0,6,Turbinación bombeo,17168.126,2022-06-01T00:00:00.000+02:00,0.004832294303766213,4,Andalucía
0,7,Turbinación bombeo,17043.417,2022-07-01T00:00:00.000+02:00,0.0039469607821492215,4,Andalucía
0,8,Turbinación bombeo,27886.198,2022-08-01T00:00:00.000+02:00,0.0066488025852285484,4,Andalucía
0,9,Turbinación bombeo,30810.937,2022-09-01T00:00:00.000+02:00,0.008058477929978712,4,Andalucía
0,10,Turbinación bombeo,23423.337,2022-10-01T00:00:00.000+02:00,0.007134142356909575,4,Andalucía
0,11,Turbinación bombeo,19287.752,2022-11-01T00:00:00.000+01:00,0.008506611649127941,4,Andalucía
0,12,Turbinación bombeo,36837.308,2022-12-01T00:00:00.000+01:00,0.016299703412037583,4,Andalucía
0,1,Carbón,23230.533,2022-01-01T00:00:00.000+01:00,0.007750137615665798,4,Andalucía
0,2,Carbón,101223.785,2022-02-01T00:00:00.000+01:00,0.04263418928881908,4,Andalucía
0,3,Carbón,159820.995,2022-03-01T00:00:00.000+01:00,0.07239370751017317,4,Andalucía
0,4,Carbón,135263.67,2022-04-01T00:00:00.000+02:00,0.05656856808358273,4,Andalucía
0,5,Carbón,61518.449,2022-05-01T00:00:00.000+02:00,0.02294163064467923,4,Andalucía
0,6,Carbón,211188.263,2022-06-01T00:00:00.000+02:00,0.05944293747128724,4,Andalucía
0,7,Carbón,288991.623,2022-07-01T00:00:00.000+02:00,0.06692546467358353,4,Andalucía
0,8,Carbón,244071.298,2022-08-01T00:00:00.000+02:00,0.05819301279875039,4,Andalucía
0,9,Carbón,253251.214,2022-09-01T00:00:00.000+02:00,0.06623684695987389,4,Andalucía
0,10,Carbón,61406.021,2022-10-01T00:00:00.000+02:00,0.018702685077936543,4,Andalucía
0,11,Carbón,22085.58,2022-11-01T00:00:00.000+01:00,0.009740557225421971,4,Andalucía
0,12,Carbón,159821.899,2022-12-01T00:00:00.000+01:00,0.07071769610441205,4,Andalucía
0,1,Ciclo combinado,1109580.513,2022-01-01T00:00:00.000+01:00,0.37017668391039726,4,Andalucía
0,2,Ciclo combinado,706093.836,2022-02-01T00:00:00.000+01:00,0.29739787204847534,4,Andalucía
0,3,Ciclo combinado,440036.689,2022-03-01T00:00:00.000+01:00,0.19932229402783433,4,Andalucía
0,4,Ciclo combinado,461105.372,2022-04-01T00:00:00.000+02:00,0.1928387025850159,4,Andalucía
0,5,Ciclo combinado,518507.049,2022-05-01T00:00:00.000+02:00,0.19336308697933194,4,Andalucía
0,6,Ciclo combinado,1520729.939,2022-06-01T00:00:00.000+02:00,0.428038250755874,4,Andalucía
0,7,Ciclo combinado,2007017.244,2022-07-01T00:00:00.000+02:00,0.464790502465862,4,Andalucía
0,8,Ciclo combinado,2260184.781,2022-08-01T00:00:00.000+02:00,0.5388874602054758,4,Andalucía
0,9,Ciclo combinado,2098079.841,2022-09-01T00:00:00.000+02:00,0.5487444310451105,4,Andalucía
0,10,Ciclo combinado,1799364.72,2022-10-01T00:00:00.000+02:00,0.5480399340401728,4,Andalucía
0,11,Ciclo combinado,941559.516,2022-11-01T00:00:00.000+01:00,0.41526255351856795,4,Andalucía
0,12,Ciclo combinado,885899.151,2022-12-01T00:00:00.000+01:00,0.3919910058106282,4,Andalucía
0,1,Eólica,867923.082,2022-01-01T00:00:00.000+01:00,0.2895552730242044,4,Andalucía
0,2,Eólica,571513.82,2022-02-01T00:00:00.000+01:00,0.2407144564200605,4,Andalucía
0,3,Eólica,650491.414,2022-03-01T00:00:00.000+01:00,0.29465143276698386,4,Andalucía
0,4,Eólica,573289.909,2022-04-01T00:00:00.000+02:00,0.23975535521768296,4,Andalucía
0,5,Eólica,634654.921,2022-05-01T00:00:00.000+02:00,0.23667727358357288,4,Andalucía
0,6,Eólica,484606.87,2022-06-01T00:00:00.000+02:00,0.13640178418232562,4,Andalucía
0,7,Eólica,664809.711,2022-07-01T00:00:00.000+02:00,0.15395843784781876,4,Andalucía
0,8,Eólica,466962.449,2022-08-01T00:00:00.000+02:00,0.11133612183761495,4,Andalucía
0,9,Eólica,409964.751,2022-09-01T00:00:00.000+02:00,0.10722464876685568,4,Andalucía
0,10,Eólica,601548.863,2022-10-01T00:00:00.000+02:00,0.183216218221985,4,Andalucía
0,11,Eólica,505795.954,2022-11-01T00:00:00.000+01:00,0.2230747136513462,4,Andalucía
0,12,Eólica,548026.982,2022-12-01T00:00:00.000+01:00,0.24248995796310793,4,Andalucía
0,1,Solar fotovoltaica,334472.199,2022-01-01T00:00:00.000+01:00,0.11158614272278455,4,Andalucía
0,2,Solar fotovoltaica,365691.675,2022-02-01T00:00:00.000+01:00,0.15402474915648837,4,Andalucía
0,3,Solar fotovoltaica,326949.79,2022-03-01T00:00:00.000+01:00,0.14809761050337936,4,Andalucía
0,4,Solar fotovoltaica,530043.497,2022-04-01T00:00:00.000+02:00,0.22166928967182967,4,Andalucía
0,5,Solar fotovoltaica,665783.816,2022-05-01T00:00:00.000+02:00,0.24828594745418692,4,Andalucía
0,6,Solar fotovoltaica,662643.077,2022-06-01T00:00:00.000+02:00,0.1865134474442473,4,Andalucía
0,7,Solar fotovoltaica,687797.85,2022-07-01T00:00:00.000+02:00,0.15928209349079195,4,Andalucía
0,8,Solar fotovoltaica,649069.034,2022-08-01T00:00:00.000+02:00,0.15475511832954053,4,Andalucía
0,9,Solar fotovoltaica,561143.404,2022-09-01T00:00:00.000+02:00,0.14676482369514202,4,Andalucía
0,10,Solar fotovoltaica,420035.456,2022-10-01T00:00:00.000+02:00,0.12793193122113336,4,Andalucía
0,11,Solar fotovoltaica,356341.37,2022-11-01T00:00:00.000+01:00,0.15715971716705035,4,Andalucía
0,12,Solar fotovoltaica,284142.469,2022-12-01T00:00:00.000+01:00,0.12572683029563625,4,Andalucía
0,1,Solar térmica,76579.156,2022-01-01T00:00:00.000+01:00,0.025548229887430444,4,Andalucía
0,2,Solar térmica,84646.083,2022-02-01T00:00:00.000+01:00,0.035651869026425864,4,Andalucía
0,3,Solar térmica,46969.596,2022-03-01T00:00:00.000+01:00,0.021275697818643913,4,Andalucía
0,4,Solar térmica,171967.44,2022-04-01T00:00:00.000+02:00,0.07191843780225265,4,Andalucía
0,5,Solar térmica,274983.416,2022-05-01T00:00:00.000+02:00,0.10254757826037159,4,Andalucía
0,6,Solar térmica,269109.685,2022-06-01T00:00:00.000+02:00,0.07574601898389025,4,Andalucía
0,7,Solar térmica,321201.387,2022-07-01T00:00:00.000+02:00,0.07438468927099154,4,Andalucía
0,8,Solar térmica,259570.025,2022-08-01T00:00:00.000+02:00,0.06188831669587367,4,Andalucía
0,9,Solar térmica,195630.311,2022-09-01T00:00:00.000+02:00,0.05116632913917456,4,Andalucía
0,10,Solar térmica,69764.041,2022-10-01T00:00:00.000+02:00,0.021248321701014514,4,Andalucía
0,11,Solar térmica,49657.871,2022-11-01T00:00:00.000+01:00,0.021900956831023777,4,Andalucía
0,12,Solar térmica,32448.776,2022-12-01T00:00:00.000+01:00,0.014357873948977036,4,Andalucía
0,1,Otras renovables,164619.789,2022-01-01T00:00:00.000+01:00,0.05492022154686966,4,Andalucía
0,2,Otras renovables,149697.583,2022-02-01T00:00:00.000+01:00,0.06305074533323078,4,Andalucía
0,3,Otras renovables,170776.315,2022-03-01T00:00:00.000+01:00,0.07735611080243368,4,Andalucía
0,4,Otras renovables,158971.909,2022-04-01T00:00:00.000+02:00,0.066483581715945,4,Andalucía
0,5,Otras renovables,133665.524,2022-05-01T00:00:00.000+02:00,0.0498469179796049,4,Andalucía
0,6,Otras renovables,145497.205,2022-06-01T00:00:00.000+02:00,0.04095294471483986,4,Andalucía
0,7,Otras renovables,150502.142,2022-07-01T00:00:00.000+02:00,0.034853694661314286,4,Andalucía
0,8,Otras renovables,142238.88,2022-08-01T00:00:00.000+02:00,0.03391348770685818,4,Andalucía
0,9,Otras renovables,129655.682,2022-09-01T00:00:00.000+02:00,0.03391092753502881,4,Andalucía
0,10,Otras renovables,127027.875,2022-10-01T00:00:00.000+02:00,0.038689403800394234,4,Andalucía
0,11,Otras renovables,132610.238,2022-11-01T00:00:00.000+01:00,0.05848601720741893,4,Andalucía
0,12,Otras renovables,105121.458,2022-12-01T00:00:00.000+01:00,0.04651394688344126,4,Andalucía
0,1,Cogeneración,393321.244,2022-01-01T00:00:00.000+01:00,0.1312192780150531,4,Andalucía
0,2,Cogeneración,370477.832,2022-02-01T00:00:00.000+01:00,0.1560406184850657,4,Andalucía
0,3,Cogeneración,375384.966,2022-03-01T00:00:00.000+01:00,0.17003716834775245,4,Andalucía
0,4,Cogeneración,304722.286,2022-04-01T00:00:00.000+02:00,0.12743779155316404,4,Andalucía
0,5,Cogeneración,319181.603,2022-05-01T00:00:00.000+02:00,0.1190300887560192,4,Andalucía
0,6,Cogeneración,196999.195,2022-06-01T00:00:00.000+02:00,0.05544915547829911,4,Andalucía
0,7,Cogeneración,137632.955,2022-07-01T00:00:00.000+02:00,0.031873413395700434,4,Andalucía
0,8,Cogeneración,110330.082,2022-08-01T00:00:00.000+02:00,0.026305591548553078,4,Andalucía
0,9,Cogeneración,125771.636,2022-09-01T00:00:00.000+02:00,0.03289507076410289,4,Andalucía
0,10,Cogeneración,171690.854,2022-10-01T00:00:00.000+02:00,0.05229259152166823,4,Andalucía
0,11,Cogeneración,232788.193,2022-11-01T00:00:00.000+01:00,0.10266819867619842,4,Andalucía
0,12,Cogeneración,190826.503,2022-12-01T00:00:00.000+01:00,0.08443655551747431,4,Andalucía
0,1,Residuos no renovables,1347.259,2022-01-01T00:00:00.000+01:00,0.00044947064511796983,4,Andalucía
0,2,Residuos no renovables,1276.288,2022-02-01T00:00:00.000+01:00,0.0005375565059046975,4,Andalucía
0,3,Residuos no renovables,1923.639,2022-03-01T00:00:00.000+01:00,0.0008713458398952028,4,Andalucía
0,4,Residuos no renovables,3144.832,2022-04-01T00:00:00.000+02:00,0.0013151989969178688,4,Andalucía
0,5,Residuos no renovables,2479.976,2022-05-01T00:00:00.000+02:00,0.0009248395290276096,4,Andalucía
0,6,Residuos no renovables,2199.072,2022-06-01T00:00:00.000+02:00,0.0006189704746558695,4,Andalucía
0,7,Residuos no renovables,1690.978,2022-07-01T00:00:00.000+02:00,0.00039160127628615356,4,Andalucía
0,8,Residuos no renovables,1887.049,2022-08-01T00:00:00.000+02:00,0.0004499220822305338,4,Andalucía
0,9,Residuos no renovables,1788.368,2022-09-01T00:00:00.000+02:00,0.0004677405318338799,4,Andalucía
0,10,Residuos no renovables,1903.249,2022-10-01T00:00:00.000+02:00,0.0005796803976583606,4,Andalucía
0,11,Residuos no renovables,2169.236,2022-11-01T00:00:00.000+01:00,0.0009567132669119603,4,Andalucía
0,12,Residuos no renovables,1463.775,2022-12-01T00:00:00.000+01:00,0.0006476884348322987,4,Andalucía
0,1,Generación total,2997434.904,2022-01-01T00:00:00.000+01:00,1.0,4,Andalucía
0,2,Generación total,2374239.7050000005,2022-02-01T00:00:00.000+01:00,1.0,4,Andalucía
0,3,Generación total,2207664.181,2022-03-01T00:00:00.000+01:00,1.0,4,Andalucía
0,4,Generación total,2391145.3759999997,2022-04-01T00:00:00.000+02:00,1.0,4,Andalucía
0,5,Generación total,2681520.3310000002,2022-05-01T00:00:00.000+02:00,1.0,4,Andalucía
0,6,Generación total,3552789.8180000004,2022-06-01T00:00:00.000+02:00,1.0,4,Andalucía
0,7,Generación total,4318111.565,2022-07-01T00:00:00.000+02:00,1.0,4,Andalucía
0,8,Generación total,4194168.445,2022-08-01T00:00:00.000+02:00,1.0,4,Andalucía
0,9,Generación total,3823418.9220000003,2022-09-01T00:00:00.000+02:00,1.0,4,Andalucía
0,10,Generación total,3283273.003,2022-10-01T00:00:00.000+02:00,1.0,4,Andalucía
0,11,Generación total,2267383.6300000004,2022-11-01T00:00:00.000+01:00,1.0,4,Andalucía
0,12,Generación total,2259998.668,2022-12-01T00:00:00.000+01:00,1.0,4,Andalucía
1,1,Hidráulica,228069.921,2022-01-01T00:00:00.000+01:00,0.125921215225229,5,Aragón
1,2,Hidráulica,155261.888,2022-02-01T00:00:00.000+01:00,0.08050095611792148,5,Aragón
1,3,Hidráulica,178212.933,2022-03-01T00:00:00.000+01:00,0.10146249329292346,5,Aragón
1,4,Hidráulica,260406.525,2022-04-01T00:00:00.000+02:00,0.1329381386723995,5,Aragón
1,5,Hidráulica,381482.022,2022-05-01T00:00:00.000+02:00,0.18717503028147742,5,Aragón
1,6,Hidráulica,231980.57,2022-06-01T00:00:00.000+02:00,0.12464112023428355,5,Aragón
1,7,Hidráulica,169921.127,2022-07-01T00:00:00.000+02:00,0.09491676915881832,5,Aragón
1,8,Hidráulica,142520.188,2022-08-01T00:00:00.000+02:00,0.08614438630420618,5,Aragón
