,comunidad_autonoma,type,month,value
0,Andalucía,Hidráulica,2015-01-01T00:00:00.000+01:00,588.908
1,Andalucía,Hidráulica,2015-02-01T00:00:00.000+01:00,588.908
2,Andalucía,Hidráulica,2015-03-01T00:00:00.000+01:00,588.908
3,Andalucía,Hidráulica,2015-04-01T00:00:00.000+02:00,588.908
4,Andalucía,Hidráulica,2015-05-01T00:00:00.000+02:00,588.908
5,Andalucía,Hidráulica,2015-06-01T00:00:00.000+02:00,588.908
6,Andalucía,Hidráulica,2015-07-01T00:00:00.000+02:00,591.633
7,Andalucía,Hidráulica,2015-08-01T00:00:00.000+02:00,591.633
8,Andalucía,Hidráulica,2015-09-01T00:00:00.000+02:00,591.633
9,Andalucía,Hidráulica,2015-10-01T00:00:00.000+02:00,591.633
10,Andalucía,Hidráulica,2015-11-01T00:00:00.000+01:00,591.633
11,Andalucía,Hidráulica,2015-12-01T00:00:00.000+01:00,592.163
12,Andalucía,Turbinación bombeo,2015-01-01T00:00:00.000+01:00,584.87
13,Andalucía,Turbinación bombeo,2015-02-01T00:00:00.000+01:00,584.87
14,Andalucía,Turbinación bombeo,2015-03-01T00:00:00.000+01:00,584.87
15,Andalucía,Turbinación bombeo,2015-04-01T00:00:00.000+02:00,584.87
16,Andalucía,Turbinación bombeo,2015-05-01T00:00:00.000+02:00,584.87
17,Andalucía,Turbinación bombeo,2015-06-01T00:00:00.000+02:00,584.87
18,Andalucía,Turbinación bombeo,2015-07-01T00:00:00.000+02:00,584.87
19,Andalucía,Turbinación bombeo,2015-08-01T00:00:00.000+02:00,584.87
20,Andalucía,Turbinación bombeo,2015-09-01T00:00:00.000+02:00,584.87
21,Andalucía,Turbinación bombeo,2015-10-01T00:00:00.000+02:00,584.87
22,Andalucía,Turbinación bombeo,2015-11-01T00:00:00.000+01:00,584.87
23,Andalucía,Turbinación bombeo,2015-12-01T00:00:00.000+01:00,584.87
24,Andalucía,Carbón,2015-01-01T00:00:00.000+01:00,1989.4
25,Andalucía,Carbón,2015-02-01T00:00:00.000+01:00,1989.4
26,Andalucía,Carbón,2015-03-01T00:00:00.000+01:00,1989.4
27,Andalucía,Carbón,2015-04-01T00:00:00.000+02:00,1989.4
28,Andalucía,Carbón,2015-05-01T00:00:00.000+02:00,1989.4
29,Andalucía,Carbón,2015-06-01T00:00:00.000+02:00,1989.4
30,Andalucía,Carbón,2015-07-01T00:00:00.000+02:00,1989.4
31,Andalucía,Carbón,2015-08-01T00:00:00.000+02:00,1989.4
32,Andalucía,Carbón,2015-09-01T00:00:00.000+02:00,1989.4
33,Andalucía,Carbón,2015-10-01T00:00:00.000+02:00,1989.4
34,Andalucía,Carbón,2015-11-01T00:00:00.000+01:00,1989.4
35,Andalucía,Carbón,2015-12-01T00:00:00.000+01:00,1989.4
36,Andalucía,Ciclo combinado,2015-01-01T00:00:00.000+01:00,5951.715
37,Andalucía,Ciclo combinado,2015-02-01T00:00:00.000+01:00,5951.715
38,Andalucía,Ciclo combinado,2015-03-01T00:00:00.000+01:00,5951.715
39,Andalucía,Ciclo combinado,2015-04-01T00:00:00.000+02:00,5951.715
40,Andalucía,Ciclo combinado,2015-05-01T00:00:00.000+02:00,5951.715
41,Andalucía,Ciclo combinado,2015-06-01T00:00:00.000+02:00,5951.715
42,Andalucía,Ciclo combinado,2015-07-01T00:00:00.000+02:00,5951.715
43,Andalucía,Ciclo combinado,2015-08-01T00:00:00.000+02:00,5951.715
44,Andalucía,Ciclo combinado,2015-09-01T00:00:00.000+02:00,5951.715
45,Andalucía,Ciclo combinado,2015-10-01T00:00:00.000+02:00,5951.715
46,Andalucía,Ciclo combinado,2015-11-01T00:00:00.000+01:00,5951.715
47,Andalucía,Ciclo combinado,2015-12-01T00:00:00.000+01:00,5951.715
48,Andalucía,Eólica,2015-01-01T00:00:00.000+01:00,3325.381
49,Andalucía,Eólica,2015-02-01T00:00:00.000+01:00,3325.381
50,Andalucía,Eólica,2015-03-01T00:00:00.000+01:00,3325.381
51,Andalucía,Eólica,2015-04-01T00:00:00.000+02:00,3325.381
52,Andalucía,Eólica,2015-05-01T00:00:00.000+02:00,3327.181
53,Andalucía,Eólica,2015-06-01T00:00:00.000+02:00,3327.181
54,Andalucía,Eólica,2015-07-01T00:00:00.000+02:00,3327.181
55,Andalucía,Eólica,2015-08-01T00:00:00.000+02:00,3327.181
56,Andalucía,Eólica,2015-09-01T00:00:00.000+02:00,3327.181
57,Andalucía,Eólica,2015-10-01T00:00:00.000+02:00,3327.181
58,Andalucía,Eólica,2015-11-01T00:00:00.000+01:00,3327.181
59,Andalucía,Eólica,2015-12-01T00:00:00.000+01:00,3327.181
60,Andalucía,Solar fotovoltaica,2015-01-01T00:00:00.000+01:00,875.282
61,Andalucía,Solar fotovoltaica,2015-02-01T00:00:00.000+01:00,875.287
62,Andalucía,Solar fotovoltaica,2015-03-01T00:00:00.000+01:00,875.341
63,Andalucía,Solar fotovoltaica,2015-04-01T00:00:00.000+02:00,875.341
64,Andalucía,Solar fotovoltaica,2015-05-01T00:00:00.000+02:00,875.341
65,Andalucía,Solar fotovoltaica,2015-06-01T00:00:00.000+02:00,875.56
66,Andalucía,Solar fotovoltaica,2015-07-01T00:00:00.000+02:00,875.675
67,Andalucía,Solar fotovoltaica,2015-08-01T00:00:00.000+02:00,875.675
68,Andalucía,Solar fotovoltaica,2015-09-01T00:00:00.000+02:00,875.73
69,Andalucía,Solar fotovoltaica,2015-10-01T00:00:00.000+02:00,875.73
70,Andalucía,Solar fotovoltaica,2015-11-01T00:00:00.000+01:00,875.73
71,Andalucía,Solar fotovoltaica,2015-12-01T00:00:00.000+01:00,875.73
72,Andalucía,Solar térmica,2015-01-01T00:00:00.000+01:00,1000.023
73,Andalucía,Solar térmica,2015-02-01T00:00:00.000+01:00,1000.023
74,Andalucía,Solar térmica,2015-03-01T00:00:00.000+01:00,1000.023
75,Andalucía,Solar térmica,2015-04-01T00:00:00.000+02:00,1000.023
76,Andalucía,Solar térmica,2015-05-01T00:00:00.000+02:00,1000.023
77,Andalucía,Solar térmica,2015-06-01T00:00:00.000+02:00,1000.023
78,Andalucía,Solar térmica,2015-07-01T00:00:00.000+02:00,1000.023
79,Andalucía,Solar térmica,2015-08-01T00:00:00.000+02:00,1000.023
80,Andalucía,Solar térmica,2015-09-01T00:00:00.000+02:00,1000.023
81,Andalucía,Solar térmica,2015-10-01T00:00:00.000+02:00,1000.023
82,Andalucía,Solar térmica,2015-11-01T00:00:00.000+01:00,1000.023
83,Andalucía,Solar térmica,2015-12-01T00:00:00.000+01:00,1000.023
84,Andalucía,Otras renovables,2015-01-01T00:00:00.000+01:00,403.484
85,Andalucía,Otras renovables,2015-02-01T00:00:00.000+01:00,403.484
86,Andalucía,Otras renovables,2015-03-01T00:00:00.000+01:00,403.484
87,Andalucía,Otras renovables,2015-04-01T00:00:00.000+02:00,403.484
88,Andalucía,Otras renovables,2015-05-01T00:00:00.000+02:00,403.484
89,Andalucía,Otras renovables,2015-06-01T00:00:00.000+02:00,403.484
90,Andalucía,Otras renovables,2015-07-01T00:00:00.000+02:00,403.484
91,Andalucía,Otras renovables,2015-08-01T00:00:00.000+02:00,403.484
92,Andalucía,Otras renovables,2015-09-01T00:00:00.000+02:00,403.484
93,Andalucía,Otras renovables,2015-10-01T00:00:00.000+02:00,403.484
94,Andalucía,Otras renovables,2015-11-01T00:00:00.000+01:00,403.484
95,Andalucía,Otras renovables,2015-12-01T00:00:00.000+01:00,403.484
96,Andalucía,Cogeneración,2015-01-01T00:00:00.000+01:00,763.115
97,Andalucía,Cogeneración,2015-02-01T00:00:00.000+01:00,763.115
98,Andalucía,Cogeneración,2015-03-01T00:00:00.000+01:00,763.115
99,Andalucía,Cogeneración,2015-04-01T00:00:00.000+02:00,763.115
100,Andalucía,Cogeneración,2015-05-01T00:00:00.000+02:00,763.115
101,Andalucía,Cogeneración,2015-06-01T00:00:00.000+02:00,763.115
102,Andalucía,Cogeneración,2015-07-01T00:00:00.000+02:00,763.115
103,Andalucía,Cogeneración,2015-08-01T00:00:00.000+02:00,763.115
104,Andalucía,Cogeneración,2015-09-01T00:00:00.000+02:00,763.115
105,Andalucía,Cogeneración,2015-10-01T00:00:00.000+02:00,763.115
106,Andalucía,Cogeneración,2015-11-01T00:00:00.000+01:00,763.115
107,Andalucía,Cogeneración,2015-12-01T00:00:00.000+01:00,763.685
108,Andalucía,Residuos no renovables,2015-01-01T00:00:00.000+01:00,63.225
109,Andalucía,Residuos no renovables,2015-02-01T00:00:00.000+01:00,63.225
110,Andalucía,Residuos no renovables,2015-03-01T00:00:00.000+01:00,63.225
111,Andalucía,Residuos no renovables,2015-04-01T00:00:00.000+02:00,63.225
112,Andalucía,Residuos no renovables,2015-05-01T00:00:00.000+02:00,63.225
113,Andalucía,Residuos no renovables,2015-06-01T00:00:00.000+02:00,63.225
114,Andalucía,Residuos no renovables,2015-07-01T00:00:00.000+02:00,63.225
