value,percentage,datetime,Type
17098.566,0.15548002431984262,2020-01-01T00:00:00.000+01:00,Hidráulica
17098.566,0.15541149913042696,2020-02-01T00:00:00.000+01:00,Hidráulica
17098.566,0.15418770374378848,2020-03-01T00:00:00.000+01:00,Hidráulica
17098.566,0.15404351795243534,2020-04-01T00:00:00.000+02:00,Hidráulica
17098.566,0.15347835214084035,2020-05-01T00:00:00.000+02:00,Hidráulica
17098.566,0.1530848910527457,2020-06-01T00:00:00.000+02:00,Hidráulica
17098.566,0.15255662448922255,2020-07-01T00:00:00.000+02:00,Hidráulica
17099.036,0.15368641467175023,2020-08-01T00:00:00.000+02:00,Hidráulica
17099.036,0.15256686041876574,2020-09-01T00:00:00.000+02:00,Hidráulica
17099.036,0.15398313937253053,2020-10-01T00:00:00.000+02:00,Hidráulica
17099.036,0.15401749775245627,2020-11-01T00:00:00.000+01:00,Hidráulica
17098.461,0.15414354034997302,2020-12-01T00:00:00.000+01:00,Hidráulica
3331.4,0.03029295866209621,2020-01-01T00:00:00.000+01:00,Turbinación bombeo
3331.4,0.03027960755323601,2020-02-01T00:00:00.000+01:00,Turbinación bombeo
3331.4,0.030041169315137714,2020-03-01T00:00:00.000+01:00,Turbinación bombeo
3331.4,0.0300130768689458,2020-04-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.02990296275851411,2020-05-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.029826302746857082,2020-06-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.029723377903351427,2020-07-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.029942677577699042,2020-08-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.029724555162003063,2020-09-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.030000488361194642,2020-10-01T00:00:00.000+02:00,Turbinación bombeo
3331.4,0.03000718239393922,2020-11-01T00:00:00.000+01:00,Turbinación bombeo
3331.4,0.030032749165079836,2020-12-01T00:00:00.000+01:00,Turbinación bombeo
7117.29,0.06471866835449082,2020-01-01T00:00:00.000+01:00,Nuclear
7117.29,0.06469014469669541,2020-02-01T00:00:00.000+01:00,Nuclear
7117.29,0.06418073901510972,2020-03-01T00:00:00.000+01:00,Nuclear
7117.29,0.06412072157908964,2020-04-01T00:00:00.000+02:00,Nuclear
7117.29,0.06388547091659509,2020-05-01T00:00:00.000+02:00,Nuclear
7117.29,0.0637216924647831,2020-06-01T00:00:00.000+02:00,Nuclear
7117.29,0.06350180113998441,2020-07-01T00:00:00.000+02:00,Nuclear
7117.29,0.06397031869393696,2020-08-01T00:00:00.000+02:00,Nuclear
7117.29,0.0635043162661262,2020-09-01T00:00:00.000+02:00,Nuclear
7117.29,0.0640938271622282,2020-10-01T00:00:00.000+02:00,Nuclear
7117.29,0.06410812846867972,2020-11-01T00:00:00.000+01:00,Nuclear
7117.29,0.06416274998653151,2020-12-01T00:00:00.000+01:00,Nuclear
9456.245,0.085987164220344,2020-01-01T00:00:00.000+01:00,Carbón
9456.245,0.08594926683293819,2020-02-01T00:00:00.000+01:00,Carbón
9456.245,0.08527245516312194,2020-03-01T00:00:00.000+01:00,Carbón
9456.245,0.0851927141972097,2020-04-01T00:00:00.000+02:00,Carbón
9456.245,0.08488015310991934,2020-05-01T00:00:00.000+02:00,Carbón
9456.245,0.08466255214578061,2020-06-01T00:00:00.000+02:00,Carbón
9456.245,0.08437039793530571,2020-07-01T00:00:00.000+02:00,Carbón
8400.475,0.07550360641907948,2020-08-01T00:00:00.000+02:00,Carbón
8400.475,0.07495358783830453,2020-09-01T00:00:00.000+02:00,Carbón
6838.135,0.06157993320519233,2020-10-01T00:00:00.000+02:00,Carbón
6219.075,0.05601756554199061,2020-11-01T00:00:00.000+01:00,Carbón
5733.225,0.05168532999098423,2020-12-01T00:00:00.000+01:00,Carbón
7.95,7.229063497738635e-05,2020-01-01T00:00:00.000+01:00,Fuel + Gas
7.95,7.225877410344789e-05,2020-02-01T00:00:00.000+01:00,Fuel + Gas
