Presa;Demarcación;Cauce;Fase;Titular;Provincia
ABENOJAR;GUADIANA;ARROYO DE LA VIRGEN;Explotación;AYUNTAMIENTO DE ABENOJAR;Ciudad Real
ABRILONGO;;RIO ABRILONGO;Explotación;PORTUGAL;
ACEBO;TAJO;RIVERA DE ACEBO;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
ACECA;TAJO;SIN NOMBRE;Explotación;IBERDROLA GENERACION S.A.;Toledo
ACEHUCHE;TAJO;ARROYO DE LA GARGANTA;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
ACEÑA, LA;TAJO;RÍO DE LA ACEÑA;Explotación;CANAL DE ISABEL II;Ávila
ACIBAL;GALICIA-COSTA;RÍO DE RONS;Explotación;CONCELLO PONTEVEDRA;Pontevedra
ADEYAHAMEN;LA PALMA;;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
AGAETE Palmas, Las;GRAN CANARIA;BARRANCO DE AGAETE;Explotación;AYUNTAMIENTO DE AGAETE;
AGRIO;GUADALQUIVIR;RÍO CRISPINEJO O AGRIO;Explotación;ANDALUZA DE PIRITAS;Sevilla
AGRIO, EL;GUADALQUIVIR;RÍO CRISPINEJO O AGRIO;Explotación;BOLIDEN APIRSA S.A.;Sevilla
AGUA;TINTO, ODIEL Y PIEDRAS;ARROYO DEL REJONCILLO;Explotación;RIOTINTO MINERA;Huelva
AGUA BLANCA;TINTO, ODIEL Y PIEDRAS;ARROYO DE AGUA BLANCA;Explotación;AYUNTAMIENTO DE NIEBLA;Huelva
AGUAMANSA A;TENERIFE;BARRANCO DE LA QUIQUIRA;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
AGUASCEBAS;GUADALQUIVIR;ARROYO DE LAS AGUASCEBAS CHICO;Explotación;ESTADO;Jaén
AGUAYO;CANTABRICO OCCIDENTAL;RÍO IRBIENZA;Explotación;E.ON GENERACION;Cantabria
AGUEDA;DUERO;RÍO ÁGUEDA;Explotación;ESTADO;Salamanca
AGUIJON, EL;GUADIANA;RIO ALCARRACHE;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Badajoz
AGUILA, EL;GUADIANA;ARROYO DE FUENTE PORRO;Explotación;JOSÉ RISQUETE BORRERO;Badajoz
AGUILAR DE CAMPOO;DUERO;;Explotación;ESTADO;Palencia
AGUILAR DE CAMPOO;DUERO;;Explotación;ESTADO;Palencia
AGUILAR DE CAMPOO;DUERO;RÍO PISUERGA;Explotación;ESTADO;Palencia
AGULO;LA GOMERA;BARRANCO LA PALMITA;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
AHIGAL;TAJO;ARROYO DEL PALOMERO;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
AHILLONES;GUADIANA;ARROYO DE PIEDRAS GORDAS;Explotación;AYUNTAMIENTO DE AHILLONES;Badajoz
AIGUAMOIX;EBRO;ARRIU D'AIGUAMÒG;Explotación;ENDESA GENERACION S.A.;Lleida
AINSA;EBRO;BARRANCO DEL ESTAÑUELO O RÍO FORCAZ;Explotación;ELECTRICAS REUNIDAS DE ZARAGOZA;Huesca
AIXOLA;CANTABRICO ORIENTAL;EGO IBAIA;Explotación;CONSORCIO DE AGUAS DE GUIPUZCOA;Bizkaia
ALAMILLO;GUADALQUIVIR;;Explotación;ESTADO;Sevilla
ALAMILLO;GUADALQUIVIR;;Explotación;CDAD. DE REGANTES DE LA ZONA REGABLE DEL VIAR;Sevilla
ALAMILLO, EL;GUADALQUIVIR;ARROYO DE GARRIDO;Explotación;PARTICULAR;Sevilla
ALAMOS, LOS;GUADIANA;ARROYO DE LOS ALAMOS;Explotación;MANUEL MARTIN DE LA VEGA MUÑOZ-REJA;Ciudad Real
ALANGE;GUADIANA;RIO MATACHEL;Explotación;ESTADO;Badajoz
ALARCON;JUCAR;RÍO JÚCAR;Explotación;ESTADO;Cuenca
ALAR DEL REY;DUERO;RÍO PISUERGA;Explotación;ESTADO;Palencia
ALBA;EBRO;RIO OCA;Explotación;DIPUTACION PROVINCIAL DE BURGOS;Burgos
ALBARELLOS;MIÑO-SIL;RÍO AVIA;Explotación;NATURGY GENERACIÓN, S.L.U.;Ourense
ALBI;EBRO;;Explotación;C.R. DE L'ALBI;Lleida
ALBI;EBRO;;Explotación;C.R. DE L'ALBI;Lleida
ALBIÑA;EBRO;ILLUMPE ERREKA;Explotación;AGUAS MUNICIPALES DE VITORIA S.A.;Araba/Álava
ALBUERA CASABAYA;GUADIANA;ARROYO DE LA ALBUERA;Explotación;AYUNTAMIENTO DE JEREZ DE LOS CABALLEROS;Badajoz
ALBUERA DE FERIA;GUADIANA;ARROYO DE LA ALBUERA;Explotación;AYUNTAMIENTO DE ALMENDRALEJO;Badajoz
ALBUERA, LA;GUADIANA;ARROYO CHICO;Explotación;AYUNTAMIENTO DE BURGUILLOS DEL CERRO;Badajoz
ALBUERA SAN JORGE;TAJO;ARROYO DE LA ALBUERA;Explotación;MAXIMILIANO JOSÉ PABLOS VIÑUELA (HERMANOS Y TIOS);Cáceres
ALBUREJOS, LOS;GUADALETE Y BARBATE;ARROYO DE LA CARRASQUILLA;Explotación;ALVARO DOMECQ DIEZ;Cádiz
ALCALA DEL RIO;GUADALQUIVIR;RÍO GUADALQUIVIR;Explotación;ENDESA GENERACIÓN, S.A.- U.P.H. SUR;Sevilla
ALCANTARA;TAJO;RÍO JARTÍN;Explotación;AYUNTAMIENTO DE ALCANTARA;Cáceres
ALCAUCIN;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO DE ALCAUCÍN;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
ALCOBA;DUERO;RÍO ÓRBIGO;Explotación;ESTADO;León
ALCOLEA DE TAJO;TAJO;;Explotación;ESTADO;Toledo
ALCORA;JUCAR;RIU L'ALCORA;Explotación;ESTADO;Castellón/Castelló
ALCORAYA 1;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE ALICANTE-NORTE;Alicante/Alacant
ALCORAYA 2;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE ALICANTE-NORTE;Alicante/Alacant
ALCORLO;TAJO;RÍO BORNOBA;Explotación;ESTADO;Guadalajara
ALCORNOCAL, EL;GUADIANA;ARROYO DEL ALCORNOCAL;Explotación;MARGARITA MASA ROLDAN;Cáceres
ALCUESCAR;TAJO;RÍO AYUELA;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
ALDABA;CANTABRICO ORIENTAL;LASARTE ERREKA;Explotación;ESTADO;Gipuzkoa
ALDEADAVILA;DUERO;RÍO DUERO;Explotación;IBERDROLA GENERACION S.A.;Salamanca
ALDEA DEL CANO;TAJO;ARROYO DE SANTIAGO;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
ALDEANUEVA;TAJO;RÍO AMBROZ;Explotación;ESTADO;Cáceres
ALDEARRUBIA;DUERO;ARROYO DE LAS ARROYADAS;Explotación;ESTADO;Salamanca
ALFILORIOS, LOS;CANTABRICO OCCIDENTAL;RÍO BARREA;Explotación;ESTADO;Asturias
ALFONDONS;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE LAS HUERTAS DE VILLAJOYOSA;Alicante/Alacant
ALFONSO BOTIA;SEGURA;;Explotación;ESTADO;Murcia
ALFONSO XIII;SEGURA;RÍO QUIPAR O RAMBLA MULLIDAR;Explotación;ESTADO;Murcia
ALGAR;JUCAR;RIU PALANCIA;Explotación;ESTADO;Valencia/Valéncia
ALGARABEJO;GUADALETE Y BARBATE;;Explotación;RAFAEL SANZ VERGARA;Cádiz
ALGAR, CANAL BAJO DEL;JUCAR;;Explotación;GENERALITAT VALENCIANA. C. AGRICULTURA, PESCA Y ALIMENTACION;Alicante/Alacant
ALGARROBOS, LOS;GUADALQUIVIR;;Explotación;SUMINISTROS PARA LA CONSTRUCCION LOMBARDO S.L.;Sevilla
ALGECIRAS;SEGURA;;Explotación;ESTADO;Murcia
ALGECIRAS, RAMBLA DE;SEGURA;RAMBLA DE ALGECIRAS;Explotación;ESTADO;Murcia
ALGERRI-BALAGUER, CANAL;EBRO;;Explotación;COMUNIDAD DE REGANTES CANAL ALGERRI-BALAGUER;Lleida
ALGERRI-BALAGUER, CANAL;EBRO;;Explotación;COMUNIDAD DE REGANTES CANAL ALGERRI-BALAGUER;Lleida
ALGERRI-BALAGUER, CANAL;EBRO;;Explotación;COMUNIDAD DE REGANTES CANAL ALGERRI-BALAGUER;Lleida
ALHAMA;SEGURA;;Explotación;ESTADO;Murcia
ALIA;GUADIANA;ARROYO DE LA JARIGÜELA;Explotación;AYUNTAMIENTO DE ALIA;Cáceres
ALIAGA;EBRO;RÍO GUADALOPE;Explotación;ENDESA GENERACION S.A.;Teruel
ALISAL;TINTO, ODIEL Y PIEDRAS;ARROYO DEL ALISAL;Explotación;RIOTINTO MINERA;Huelva
ALISAREJOS;TAJO;;Explotación;SEIASA;Cáceres
