Fecha;Día semana;Comercializadora;Energía final (MWh);Mercado diario (€/MWh);Mercado intradiario (€/MWh);Restricciones (€/MWh);Procesos OS (€/MWh);Garantía potencia Pagos capacidad (€/MWh);Coste s.interrrumpibilidad (€/MWh);Total (€/MWh)
2019-01-01;Martes;Todas las u.adquisición;589313,894;63,68;-0,13;2,51;0,19;2,29;0,65;69,19
2019-01-01;Martes;Todas las u.adquisición sin garantía de potencia/pagos capacidad;589313,894;63,68;-0,13;2,51;0,19;;0,65;66,9
2019-01-01;Martes;Demanda agregada;546225,406;63,8;-0,15;2,72;0,37;2,47;0,71;69,92
2019-01-01;Martes;Comercializadores de último recurso;93600,721;64,07;0,06;2,59;0,01;4,15;0,71;71,6
2019-01-01;Martes;Comercializadores libres;438748,179;63,75;-0,17;2,75;0,46;2,19;0,71;69,68
2019-01-01;Martes;Comercializadores libres+consumidor directo en mercado;452624,685;63,74;-0,2;2,75;0,45;2,13;0,71;69,57
2019-01-01;Martes;Comercializadores libres+consumidor directo en mercado+exportación;453770,076;63,74;-0,2;2,74;0,45;2,12;0,7;69,56
2019-01-02;Miércoles;Todas las u.adquisición;760230,355;61,5;-0,12;1,55;0,39;3,34;0,65;67,31
2019-01-02;Miércoles;Todas las u.adquisición sin garantía de potencia/pagos capacidad;760230,355;61,5;-0,12;1,55;0,39;;0,65;63,97
2019-01-02;Miércoles;Demanda agregada;701033,893;61,92;-0,13;1,69;0,51;3,63;0,71;68,32
2019-01-02;Miércoles;Comercializadores de último recurso;94583,825;62,16;-0,02;1,66;0,36;4,16;0,71;69,02
2019-01-02;Miércoles;Comercializadores libres;591032,958;61,91;-0,14;1,69;0,53;3,56;0,71;68,26
2019-01-02;Miércoles;Comercializadores libres+consumidor directo en mercado;606450,068;61,88;-0,15;1,7;0,53;3,54;0,71;68,21
2019-01-02;Miércoles;Comercializadores libres+consumidor directo en mercado+exportación;607724,141;61,88;-0,15;1,69;0,53;3,54;0,7;68,2
2019-01-03;Jueves;Todas las u.adquisición;769341,834;65,06;0,05;0,85;0,55;3,42;0,68;70,63
2019-01-03;Jueves;Todas las u.adquisición sin garantía de potencia/pagos capacidad;769341,834;65,06;0,05;0,85;0,55;;0,68;67,2
2019-01-03;Jueves;Demanda agregada;745153,909;65,05;0,06;0,88;0,54;3,53;0,71;70,76
2019-01-03;Jueves;Comercializadores de último recurso;96254,259;65,32;0,03;0,84;0,51;4,16;0,71;71,55
2019-01-03;Jueves;Comercializadores libres;633289,365;65,04;0,06;0,88;0,54;3,45;0,71;70,67
2019-01-03;Jueves;Comercializadores libres+consumidor directo en mercado;648899,65;65,01;0,06;0,88;0,54;3,44;0,71;70,64
2019-01-03;Jueves;Comercializadores libres+consumidor directo en mercado+exportación;650186,125;65,01;0,06;0,88;0,54;3,43;0,7;70,63
2019-01-04;Viernes;Todas las u.adquisición;784474,379;67,56;0,0;0,46;0,77;3,36;0,68;72,82
2019-01-04;Viernes;Todas las u.adquisición sin garantía de potencia/pagos capacidad;784474,379;67,56;0,0;0,46;0,77;;0,68;69,46
2019-01-04;Viernes;Demanda agregada;752765,983;67,52;0,0;0,47;0,78;3,5;0,71;72,98
2019-01-04;Viernes;Comercializadores de último recurso;96889,547;67,75;0,0;0,45;0,77;4,15;0,71;73,82
2019-01-04;Viernes;Comercializadores libres;640209,96;67,5;-0,01;0,48;0,79;3,42;0,71;72,88
2019-01-04;Viernes;Comercializadores libres+consumidor directo en mercado;655876,436;67,48;-0,01;0,48;0,79;3,41;0,71;72,86
2019-01-04;Viernes;Comercializadores libres+consumidor directo en mercado+exportación;657027,624;67,48;-0,01;0,48;0,78;3,4;0,7;72,85
2019-01-05;Sábado;Todas las u.adquisición;702469,329;65,42;-0,02;0,38;0,27;2,15;0,68;68,88
2019-01-05;Sábado;Todas las u.adquisición sin garantía de potencia/pagos capacidad;702469,329;65,42;-0,02;0,38;0,27;;0,68;66,74
2019-01-05;Sábado;Demanda agregada;680378,937;65,44;-0,02;0,4;0,26;2,22;0,71;69,0
2019-01-05;Sábado;Comercializadores de último recurso;97403,414;65,49;0,0;0,36;0,26;4,14;0,71;70,95
2019-01-05;Sábado;Comercializadores libres;568344,486;65,43;-0,02;0,41;0,26;1,94;0,71;68,72
2019-01-05;Sábado;Comercializadores libres+consumidor directo en mercado;582975,523;65,43;-0,03;0,41;0,26;1,9;0,71;68,67
2019-01-05;Sábado;Comercializadores libres+consumidor directo en mercado+exportación;584535,913;65,43;-0,03;0,41;0,26;1,89;0,7;68,66
2019-01-06;Domingo;Todas las u.adquisición;688275,775;59,56;-0,04;1,27;0,57;2,05;0,64;64,06
2019-01-06;Domingo;Todas las u.adquisición sin garantía de potencia/pagos capacidad;688275,775;59,56;-0,04;1,27;0,57;;0,64;62,0
2019-01-06;Domingo;Demanda agregada;624585,952;59,9;-0,04;1,4;0,69;2,26;0,71;64,93
2019-01-06;Domingo;Comercializadores de último recurso;98013,227;60,67;;1,29;0,76;4,14;0,71;67,56
2019-01-06;Domingo;Comercializadores libres;512381,671;59,77;-0,04;1,42;0,68;1,97;0,71;64,51
2019-01-06;Domingo;Comercializadores libres+consumidor directo en mercado;526572,725;59,76;-0,04;1,43;0,68;1,92;0,71;64,44
2019-01-06;Domingo;Comercializadores libres+consumidor directo en mercado+exportación;527848,155;59,76;-0,04;1,42;0,68;1,91;0,7;64,43
2019-01-07;Lunes;Todas las u.adquisición;785483,193;64,17;-0,03;0,94;0,31;3,26;0,65;69,3
2019-01-07;Lunes;Todas las u.adquisición sin garantía de potencia/pagos capacidad;785483,193;64,17;-0,03;0,94;0,31;;0,65;66,04
2019-01-07;Lunes;Demanda agregada;723953,94;64,33;-0,03;1,02;0,32;3,54;0,71;69,88
2019-01-07;Lunes;Comercializadores de último recurso;97759,618;64,46;;0,98;0,3;4,15;0,71;70,6
2019-01-07;Lunes;Comercializadores libres;610901,304;64,33;-0,03;1,03;0,32;3,46;0,71;69,8
2019-01-07;Lunes;Comercializadores libres+consumidor directo en mercado;626194,322;64,31;-0,04;1,03;0,32;3,44;0,71;69,76
2019-01-07;Lunes;Comercializadores libres+consumidor directo en mercado+exportación;627502,855;64,31;-0,04;1,03;0,32;3,44;0,7;69,75
2019-01-08;Martes;Todas las u.adquisición;844875,638;63,37;-0,04;0,9;0,4;3,33;0,67;68,63
2019-01-08;Martes;Todas las u.adquisición sin garantía de potencia/pagos capacidad;844875,638;63,37;-0,04;0,9;0,4;;0,67;65,31
2019-01-08;Martes;Demanda agregada;801668,026;63,54;-0,05;0,95;0,41;3,51;0,71;69,07
2019-01-08;Martes;Comercializadores de último recurso;98331,072;63,76;-0,01;0,93;0,28;4,15;0,71;69,82
2019-01-08;Martes;Comercializadores libres;687458,461;63,53;-0,05;0,95;0,43;3,43;0,71;69,0
2019-01-08;Martes;Comercializadores libres+consumidor directo en mercado;703336,954;63,51;-0,05;0,96;0,43;3,42;0,71;68,96
2019-01-08;Martes;Comercializadores libres+consumidor directo en mercado+exportación;704726,13;63,51;-0,05;0,95;0,43;3,41;0,7;68,95
2019-01-09;Miércoles;Todas las u.adquisición;861005,93;61,32;0,01;0,7;0,36;3,24;0,66;66,29
2019-01-09;Miércoles;Todas las u.adquisición sin garantía de potencia/pagos capacidad;861005,93;61,32;0,01;0,7;0,36;;0,66;63,05
2019-01-09;Miércoles;Demanda agregada;802755,706;61,56;0,01;0,76;0,35;3,48;0,71;66,86
2019-01-09;Miércoles;Comercializadores de último recurso;97701,393;61,76;0,02;0,76;0,29;4,15;0,71;67,68
2019-01-09;Miércoles;Comercializadores libres;688802,822;61,55;0,01;0,76;0,35;3,4;0,71;66,78
2019-01-09;Miércoles;Comercializadores libres+consumidor directo en mercado;705054,313;61,53;0,01;0,76;0,36;3,38;0,71;66,75
2019-01-09;Miércoles;Comercializadores libres+consumidor directo en mercado+exportación;705916,075;61,53;0,01;0,76;0,36;3,38;0,7;66,75
2019-01-10;Jueves;Todas las u.adquisición;880132,484;63,24;0,0;0,37;0,34;3,22;0,65;67,83
2019-01-10;Jueves;Todas las u.adquisición sin garantía de potencia/pagos capacidad;880132,484;63,24;0,0;0,37;0,34;;0,65;64,6
2019-01-10;Jueves;Demanda agregada;812836,047;63,45;0,0;0,4;0,37;3,49;0,71;68,42
2019-01-10;Jueves;Comercializadores de último recurso;99168,082;63,87;0,01;0,39;0,32;4,15;0,71;69,44
2019-01-10;Jueves;Comercializadores libres;697379,297;63,41;0,0;0,4;0,38;3,41;0,71;68,31
2019-01-10;Jueves;Comercializadores libres+consumidor directo en mercado;713667,965;63,39;0,0;0,4;0,38;3,4;0,71;68,28
2019-01-10;Jueves;Comercializadores libres+consumidor directo en mercado+exportación;714638,232;63,39;0,0;0,4;0,38;3,4;0,7;68,28
2019-01-11;Viernes;Todas las u.adquisición;874151,251;64,79;0,03;0,26;0,27;3,27;0,66;69,29
2019-01-11;Viernes;Todas las u.adquisición sin garantía de potencia/pagos capacidad;874151,251;64,79;0,03;0,26;0,27;;0,66;66,02
2019-01-11;Viernes;Demanda agregada;822354,687;64,81;0,03;0,27;0,28;3,48;0,71;69,58
2019-01-11;Viernes;Comercializadores de último recurso;101361,169;65,14;0,0;0,27;0,23;4,15;0,71;70,51
2019-01-11;Viernes;Comercializadores libres;704869,289;64,78;0,03;0,27;0,28;3,4;0,71;69,48
2019-01-11;Viernes;Comercializadores libres+consumidor directo en mercado;720993,518;64,76;0,04;0,27;0,29;3,38;0,71;69,45
2019-01-11;Viernes;Comercializadores libres+consumidor directo en mercado+exportación;722157,079;64,77;0,03;0,27;0,28;3,38;0,7;69,45
2019-01-12;Sábado;Todas las u.adquisición;779928,291;62,96;-0,08;0,53;0,02;2,05;0,66;66,15
2019-01-12;Sábado;Todas las u.adquisición sin garantía de potencia/pagos capacidad;779928,291;62,96;-0,08;0,53;0,02;;0,66;64,1
2019-01-12;Sábado;Demanda agregada;733221,034;63,11;-0,08;0,57;0,07;2,18;0,71;66,56
2019-01-12;Sábado;Comercializadores de último recurso;103258,198;63,8;-0,01;0,52;0,06;4,15;0,71;69,23
2019-01-12;Sábado;Comercializadores libres;614633,508;63,02;-0,08;0,57;0,07;1,9;0,71;66,19
2019-01-12;Sábado;Comercializadores libres+consumidor directo en mercado;629962,836;63,0;-0,09;0,57;0,07;1,86;0,71;66,12
