Fecha;Día semana;Tipo de agregación;Energía final (MWh);Mercado diario (€/MWh);Mercado intradiario (€/MWh);Restricciones (€/MWh);Procesos OS (€/MWh);Garantía potencia Pagos capacidad (€/MWh);Total (€/MWh)
2021-01-01;Viernes;Todas las u.adquisición;705392,647;42,64;-0,03;2,96;0,48;2,02;48,08
2021-01-01;Viernes;Todas las u.adquisición sin garantía de potencia/pagos capacidad;705392,647;42,64;-0,03;2,96;0,48;;46,06
2021-01-01;Viernes;Demanda agregada;574915,011;43,2;-0,03;3,65;0,65;2,48;49,94
2021-01-01;Viernes;Comercializadores de último recurso;110086,876;43,64;-0,01;3,65;0,79;4,11;52,19
2021-01-01;Viernes;Comercializadores libres;451553,812;43,11;-0,04;3,65;0,59;2,15;49,46
2021-01-01;Viernes;Comercializadores libres+consumidor directo en mercado;464828,135;43,09;-0,03;3,64;0,61;2,09;49,41
2021-01-01;Viernes;Comercializadores libres+consumidor directo en mercado+exportación;465973,24;43,09;-0,03;3,64;0,61;2,09;49,39
2021-01-02;Sábado;Todas las u.adquisición;773453,647;49,43;-0,04;2,18;0,33;1,99;53,89
2021-01-02;Sábado;Todas las u.adquisición sin garantía de potencia/pagos capacidad;773453,647;49,43;-0,04;2,18;0,33;;51,9
2021-01-02;Sábado;Demanda agregada;645308,393;49,83;-0,03;2,63;0,42;2,39;55,24
2021-01-02;Sábado;Comercializadores de último recurso;110976,175;50,32;-0,01;2,54;0,38;4,11;57,33
2021-01-02;Sábado;Comercializadores libres;519756,86;49,75;-0,04;2,64;0,43;2,09;54,87
2021-01-02;Sábado;Comercializadores libres+consumidor directo en mercado;534332,218;49,73;-0,04;2,65;0,43;2,03;54,8
2021-01-02;Sábado;Comercializadores libres+consumidor directo en mercado+exportación;535658,075;49,73;-0,04;2,64;0,43;2,03;54,79
2021-01-03;Domingo;Todas las u.adquisición;763557,689;47,7;-0,02;3,17;0,46;1,99;53,3
2021-01-03;Domingo;Todas las u.adquisición sin garantía de potencia/pagos capacidad;763557,689;47,7;-0,02;3,17;0,46;;51,31
2021-01-03;Domingo;Demanda agregada;648963,633;48,07;-0,01;3,76;0,54;2,34;54,7
2021-01-03;Domingo;Comercializadores de último recurso;114126,033;48,94;0,0;3,7;0,54;4,11;57,29
2021-01-03;Domingo;Comercializadores libres;520368,15;47,91;-0,01;3,77;0,53;2,01;54,21
2021-01-03;Domingo;Comercializadores libres+consumidor directo en mercado;534837,6;47,88;-0,02;3,77;0,54;1,96;54,14
2021-01-03;Domingo;Comercializadores libres+consumidor directo en mercado+exportación;535924,166;47,88;-0,02;3,76;0,54;1,96;54,13
2021-01-04;Lunes;Todas las u.adquisición;808265,482;61,19;0,02;3,71;0,41;3,25;68,58
2021-01-04;Lunes;Todas las u.adquisición sin garantía de potencia/pagos capacidad;808265,482;61,19;0,02;3,71;0,41;;65,33
2021-01-04;Lunes;Demanda agregada;754598,871;61,49;0,01;3,98;0,38;3,48;69,34
2021-01-04;Lunes;Comercializadores de último recurso;112913,3;61,86;0,06;3,98;0,36;4,11;70,38
2021-01-04;Lunes;Comercializadores libres;626054,882;61,46;0,0;3,97;0,37;3,38;69,18
2021-01-04;Lunes;Comercializadores libres+consumidor directo en mercado;641685,571;61,43;0,0;3,97;0,38;3,37;69,16
2021-01-04;Lunes;Comercializadores libres+consumidor directo en mercado+exportación;643656,779;61,43;0,01;3,96;0,38;3,36;69,15
2021-01-05;Martes;Todas las u.adquisición;794593,623;68,58;0,17;3,17;0,67;3,29;75,88
2021-01-05;Martes;Todas las u.adquisición sin garantía de potencia/pagos capacidad;794593,623;68,58;0,17;3,17;0,67;;72,59
2021-01-05;Martes;Demanda agregada;766631,799;68,83;0,16;3,33;0,64;3,41;76,37
2021-01-05;Martes;Comercializadores de último recurso;114183,985;69,57;0,07;3,32;0,74;4,1;77,8
2021-01-05;Martes;Comercializadores libres;636569,894;68,73;0,16;3,33;0,62;3,3;76,14
2021-01-05;Martes;Comercializadores libres+consumidor directo en mercado;652447,814;68,7;0,17;3,33;0,63;3,29;76,12
2021-01-05;Martes;Comercializadores libres+consumidor directo en mercado+exportación;653961,878;68,7;0,17;3,32;0,62;3,28;76,1
2021-01-06;Miércoles;Todas las u.adquisición;718593,057;71,41;0,1;3,2;1,94;3,1;79,75
2021-01-06;Miércoles;Todas las u.adquisición sin garantía de potencia/pagos capacidad;718593,057;71,41;0,1;3,2;1,94;;76,65
2021-01-06;Miércoles;Demanda agregada;664206,271;71,58;0,04;3,58;1,97;3,35;80,52
2021-01-06;Miércoles;Comercializadores de último recurso;117154,229;72,58;-0,01;3,55;2,94;4,1;83,15
2021-01-06;Miércoles;Comercializadores libres;532704,415;71,4;0,04;3,58;1,75;3,2;79,97
2021-01-06;Miércoles;Comercializadores libres+consumidor directo en mercado;547052,042;71,37;0,05;3,59;1,77;3,19;79,96
