Provincia;CPRO;CODAUTO;Comunidad Autónoma
Almería;4;1;Andalucía
Cádiz;11;1;Andalucía
Córdoba;14;1;Andalucía
Granada;18;1;Andalucía
Huelva;21;1;Andalucía
Jaén;23;1;Andalucía
Málaga;29;1;Andalucía
Sevilla;41;1;Andalucía
Huesca;22;2;Aragón
Teruel;44;2;Aragón
Zaragoza;50;2;Aragón
Asturias;33;3;Principado de Asturias
Illes Balears;7;4;Illes Balears
Las Palmas;35;5;Canarias
Santa Cruz de Tenerife;38;5;Canarias
Cantabria;39;6;Cantabria
Ávila;5;7;Castilla y León
Burgos;9;7;Castilla y León
León;24;7;Castilla y León
Palencia;34;7;Castilla y León
Salamanca;37;7;Castilla y León
Segovia;40;7;Castilla y León
Soria;42;7;Castilla y León
Valladolid;47;7;Castilla y León
Zamora;49;7;Castilla y León
Albacete;2;8;Castilla-La Mancha
Ciudad Real;13;8;Castilla-La Mancha
Cuenca;16;8;Castilla-La Mancha
Guadalajara;19;8;Castilla-La Mancha
Toledo;45;8;Castilla-La Mancha
Barcelona;8;9;Cataluña
Girona;17;9;Cataluña
Lleida;25;9;Cataluña
Tarragona;43;9;Cataluña
Alicante/Alacant;3;10;Comunitat Valenciana
Castellón/Castelló;12;10;Comunitat Valenciana
Valencia/València;46;10;Comunitat Valenciana
Badajoz;6;11;Extremadura
Cáceres;10;11;Extremadura
A Coruña;15;12;Galicia
Lugo;27;12;Galicia
Ourense;32;12;Galicia
Pontevedra;36;12;Galicia
Madrid;28;13;Comunidad de Madrid
Murcia;30;14;Región de Murcia
Navarra;31;15;Comunidad Foral de Navarra
Araba/Álava;1;16;País Vasco
Bizkaia;48;16;País Vasco
Gipuzkoa;20;16;País Vasco
La Rioja;26;17;La Rioja
Ceuta;51;18;Ceuta
Melilla;52;19;Melilla
