,id,descripcion,tipo_datos,unidad,requerido
0,fecha,fecha del dia (AAAA-MM-DD),string,,True
0,indicativo,indicativo climatológico,string,,True
0,nombre,nombre (ubicación) de la estación,string,,True
0,provincia,provincia de la estación,string,,True
0,altitud,altitud de la estación en m sobre el nivel del mar,float,m,True
0,tmed,Temperatura media diaria,float,°C,False
0,prec,Precipitación diaria de 07 a 07,float,"mm (Ip = inferior a 0,1 mm) (Acum = Precipitación acumulada)",False
0,tmin,Temperatura Mínima del día,float,°C,False
0,horatmin,Hora y minuto de la temperatura mínima,string,UTC,False
0,tmax,Temperatura Máxima del día,float,°C,False
0,horatmax,Hora y minuto de la temperatura máxima,string,UTC,False
0,dir,Dirección de la racha máxima,float,decenas de grado (99 = dirección variable)(88 = sin dato),False
0,velmedia,Velocidad media del viento,float,m/s,False
0,racha,Racha máxima del viento,float,m/s,False
0,horaracha,Hora y minuto de la racha máxima,string,UTC,False
0,sol,Insolación,float,horas,False
0,presmax,Presión máxima al nivel de referencia de la estación,float,hPa,False
0,horapresmax,Hora de la presión máxima (redondeada a la hora entera más próxima),string,UTC,False
0,presmin,Presión mínima al nivel de referencia de la estación,float,hPa,False
0,horapresmin,Hora de la presión mínima (redondeada a la hora entera más próxima),string,UTC,False
