,fecha,comunidad_autonoma,tmed,tmax,velmedia,sol,generation,inst_Solar_térmica
0,2015-01-01,ANDALUCIA,8.434,15.422,2.4,4.0,3932.111,1000.02
5,2015-01-01,CASTILLA-LA MANCHA,3.808,11.616,1.124,4.0,1384.787,349.4
6,2015-01-01,CATALUNA,5.164,10.935,1.715,4.0,51.288,24.29
9,2015-01-01,COMUNITAT VALENCIANA,7.67,14.046,1.805,4.0,222.25,49.9
10,2015-01-01,EXTREMADURA,6.156,14.19,1.592,4.0,2872.151,849.0
17,2015-01-01,REGION DE MURCIA,8.75,14.68,1.525,4.0,76.933,31.4
18,2015-01-02,ANDALUCIA,9.28,16.128,1.768,4.0,3810.427,1000.02
23,2015-01-02,CASTILLA-LA MANCHA,4.906,13.293,0.978,4.0,1341.933,349.4
24,2015-01-02,CATALUNA,6.306,13.362,1.395,4.0,49.701,24.29
27,2015-01-02,COMUNITAT VALENCIANA,8.96,16.65,1.761,4.0,215.372,49.9
28,2015-01-02,EXTREMADURA,6.329,14.087,1.267,4.0,2783.268,849.0
35,2015-01-02,REGION DE MURCIA,8.89,16.56,1.514,4.0,74.552,31.4
36,2015-01-03,ANDALUCIA,10.579,17.772,1.602,4.0,3919.485,1000.02
41,2015-01-03,CASTILLA-LA MANCHA,6.368,15.188,1.002,4.0,1380.34,349.4
42,2015-01-03,CATALUNA,8.574,15.653,1.824,4.0,51.124,24.29
45,2015-01-03,COMUNITAT VALENCIANA,10.794,19.258,2.197,4.0,221.536,49.9
46,2015-01-03,EXTREMADURA,7.486,15.598,1.058,4.0,2862.928,849.0
53,2015-01-03,REGION DE MURCIA,10.29,18.77,2.213,4.0,76.686,31.4
54,2015-01-04,ANDALUCIA,11.238,18.925,1.521,4.0,4268.693,1000.02
59,2015-01-04,CASTILLA-LA MANCHA,7.505,16.109,1.111,4.0,1503.322,349.4
60,2015-01-04,CATALUNA,8.992,15.421,1.912,4.0,55.679,24.29
63,2015-01-04,COMUNITAT VALENCIANA,11.365,18.377,2.195,4.0,241.274,49.9
64,2015-01-04,EXTREMADURA,8.175,16.072,1.016,4.0,3118.002,849.0
71,2015-01-04,REGION DE MURCIA,12.633,20.91,1.75,4.0,83.518,31.4
72,2015-01-05,ANDALUCIA,9.679,16.085,1.264,4.0,3512.675,1000.02
77,2015-01-05,CASTILLA-LA MANCHA,7.277,15.746,1.12,4.0,1237.073,349.4
78,2015-01-05,CATALUNA,7.23,13.426,1.55,3.0,45.818,24.29
81,2015-01-05,COMUNITAT VALENCIANA,9.486,15.593,1.489,4.0,198.543,49.9
82,2015-01-05,EXTREMADURA,7.688,15.235,1.166,4.0,2565.78,849.0
89,2015-01-05,REGION DE MURCIA,10.467,16.83,1.243,4.0,68.726,31.4
90,2015-01-06,ANDALUCIA,8.337,13.526,1.406,3.0,937.855,1000.02
95,2015-01-06,CASTILLA-LA MANCHA,4.829,12.296,1.141,4.0,330.288,349.4
96,2015-01-06,CATALUNA,6.27,11.334,1.655,3.0,12.233,24.29
99,2015-01-06,COMUNITAT VALENCIANA,8.499,14.718,1.661,4.0,53.009,49.9
100,2015-01-06,EXTREMADURA,3.818,8.247,0.975,1.0,685.042,849.0
107,2015-01-06,REGION DE MURCIA,10.07,17.21,1.762,4.0,18.349,31.4
108,2015-01-07,ANDALUCIA,8.832,14.978,1.467,4.0,1783.969,1000.02
113,2015-01-07,CASTILLA-LA MANCHA,4.065,11.089,0.903,4.0,628.267,349.4
114,2015-01-07,CATALUNA,5.888,10.829,1.355,3.0,23.269,24.29
117,2015-01-07,COMUNITAT VALENCIANA,9.075,14.364,1.463,3.0,100.833,49.9
118,2015-01-07,EXTREMADURA,3.521,6.459,1.334,1.0,1303.073,849.0
125,2015-01-07,REGION DE MURCIA,8.76,15.14,1.375,3.0,34.904,31.4
126,2015-01-08,ANDALUCIA,9.696,15.902,2.277,4.0,2704.982,1000.02
131,2015-01-08,CASTILLA-LA MANCHA,4.664,12.537,0.935,4.0,952.624,349.4
132,2015-01-08,CATALUNA,5.871,10.908,1.97,3.0,35.282,24.29
135,2015-01-08,COMUNITAT VALENCIANA,8.556,14.79,1.65,4.0,152.89,49.9
136,2015-01-08,EXTREMADURA,4.838,10.679,1.404,2.0,1975.813,849.0
143,2015-01-08,REGION DE MURCIA,9.09,15.75,1.038,4.0,52.924,31.4
144,2015-01-09,ANDALUCIA,10.832,17.504,2.422,4.0,4025.479,1000.02
149,2015-01-09,CASTILLA-LA MANCHA,6.623,15.42,1.167,4.0,1417.669,349.4
150,2015-01-09,CATALUNA,7.195,13.45,1.767,3.0,52.506,24.29
153,2015-01-09,COMUNITAT VALENCIANA,9.65,17.113,2.058,4.0,227.527,49.9
154,2015-01-09,EXTREMADURA,7.325,15.6,1.786,4.0,2940.35,849.0
161,2015-01-09,REGION DE MURCIA,9.33,17.1,1.15,4.0,78.759,31.4
162,2015-01-10,ANDALUCIA,11.306,18.934,1.873,4.0,3825.221,1000.02
167,2015-01-10,CASTILLA-LA MANCHA,7.433,16.775,0.978,4.0,1347.143,349.4
168,2015-01-10,CATALUNA,9.762,16.586,1.553,3.0,49.894,24.29
171,2015-01-10,COMUNITAT VALENCIANA,12.483,21.586,1.914,4.0,216.208,49.9
172,2015-01-10,EXTREMADURA,8.46,16.588,1.142,4.0,2794.074,849.0
179,2015-01-10,REGION DE MURCIA,10.56,19.89,2.312,4.0,74.841,31.4
180,2015-01-11,ANDALUCIA,11.26,18.253,1.663,4.0,3523.584,1000.02
185,2015-01-11,CASTILLA-LA MANCHA,6.95,14.794,1.74,4.0,1240.914,349.4
186,2015-01-11,CATALUNA,8.475,13.817,2.144,3.0,45.96,24.29
189,2015-01-11,COMUNITAT VALENCIANA,11.849,20.193,2.997,4.0,199.159,49.9
190,2015-01-11,EXTREMADURA,8.802,15.81,1.175,4.0,2573.748,849.0
197,2015-01-11,REGION DE MURCIA,12.63,21.31,2.05,4.0,68.94,31.4
198,2015-01-12,ANDALUCIA,11.532,17.452,2.149,3.0,1996.788,1000.02
203,2015-01-12,CASTILLA-LA MANCHA,6.693,14.065,1.681,4.0,703.217,349.4
204,2015-01-12,CATALUNA,7.575,13.825,1.696,3.0,26.045,24.29
207,2015-01-12,COMUNITAT VALENCIANA,10.371,17.112,1.572,4.0,112.862,49.9
208,2015-01-12,EXTREMADURA,8.997,16.136,1.509,4.0,1458.524,849.0
215,2015-01-12,REGION DE MURCIA,10.25,16.06,2.125,3.0,39.068,31.4
216,2015-01-13,ANDALUCIA,12.075,18.169,1.385,4.0,2321.359,1000.02
221,2015-01-13,CASTILLA-LA MANCHA,7.676,15.06,1.301,4.0,817.522,349.4
222,2015-01-13,CATALUNA,8.757,14.222,1.91,3.0,30.279,24.29
225,2015-01-13,COMUNITAT VALENCIANA,11.924,18.346,1.647,4.0,131.207,49.9
226,2015-01-13,EXTREMADURA,9.378,16.326,1.292,4.0,1695.601,849.0
233,2015-01-13,REGION DE MURCIA,12.11,17.72,1.212,4.0,45.418,31.4
234,2015-01-14,ANDALUCIA,11.802,17.174,1.258,3.0,1216.073,1000.02
239,2015-01-14,CASTILLA-LA MANCHA,6.277,12.787,1.027,3.0,428.269,349.4
240,2015-01-14,CATALUNA,8.377,13.584,1.555,3.0,15.862,24.29
243,2015-01-14,COMUNITAT VALENCIANA,11.657,18.526,1.755,4.0,68.735,49.9
244,2015-01-14,EXTREMADURA,8.64,13.236,1.292,2.0,888.262,849.0
251,2015-01-14,REGION DE MURCIA,11.99,18.81,1.311,4.0,23.793,31.4
252,2015-01-15,ANDALUCIA,10.82,16.184,2.837,3.0,708.56,1000.02
257,2015-01-15,CASTILLA-LA MANCHA,6.814,12.635,3.367,3.0,249.536,349.4
258,2015-01-15,CATALUNA,8.784,14.258,2.096,3.0,9.242,24.29
261,2015-01-15,COMUNITAT VALENCIANA,11.29,18.577,2.322,4.0,40.049,49.9
262,2015-01-15,EXTREMADURA,8.445,12.405,4.117,1.0,517.557,849.0
269,2015-01-15,REGION DE MURCIA,11.74,18.72,1.911,4.0,13.863,31.4
270,2015-01-16,ANDALUCIA,8.966,12.654,3.667,3.0,1566.455,1000.02
275,2015-01-16,CASTILLA-LA MANCHA,4.742,8.58,3.964,3.0,551.664,349.4
276,2015-01-16,CATALUNA,7.345,11.29,2.571,1.0,20.432,24.29
279,2015-01-16,COMUNITAT VALENCIANA,9.817,13.793,4.144,2.0,88.539,49.9
280,2015-01-16,EXTREMADURA,6.368,10.086,3.817,3.0,1144.193,849.0
287,2015-01-16,REGION DE MURCIA,9.99,15.36,3.678,1.0,30.648,31.4
288,2015-01-17,ANDALUCIA,6.881,11.804,1.805,4.0,2286.074,1000.02
293,2015-01-17,CASTILLA-LA MANCHA,2.894,8.067,2.139,4.0,805.095,349.4
294,2015-01-17,CATALUNA,5.067,9.975,1.894,4.0,29.818,24.29
297,2015-01-17,COMUNITAT VALENCIANA,7.201,12.867,2.947,4.0,129.213,49.9
298,2015-01-17,EXTREMADURA,3.92,8.94,1.334,3.0,1669.828,849.0
305,2015-01-17,REGION DE MURCIA,8.11,14.16,2.878,4.0,44.728,31.4
306,2015-01-18,ANDALUCIA,6.636,9.809,3.274,1.0,100.237,1000.02
311,2015-01-18,CASTILLA-LA MANCHA,1.163,4.271,2.034,1.0,35.301,349.4
312,2015-01-18,CATALUNA,4.186,9.708,2.4,3.0,1.307,24.29
315,2015-01-18,COMUNITAT VALENCIANA,5.389,11.567,1.725,2.0,5.666,49.9
316,2015-01-18,EXTREMADURA,5.49,7.23,3.458,1.0,73.216,849.0
323,2015-01-18,REGION DE MURCIA,5.53,11.71,1.511,2.0,1.961,31.4
